"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
1,7/21/2012 0:00:00,"556H","SK","M30","Seed","Microtus sp.",,"k","New; Collected","Female","Non-reprod.",29.00,17.00,10.00,13.50,,
2,7/21/2012 0:00:00,"556H","SK","M35","PB","Phenacomys intermedius",,"l","New; Collected","Female","Non-reprod.",27.00,16.00,10.00,9.50,,"Originally called Microtus sp. ID verified with skull"
3,7/21/2012 0:00:00,"556H","JB","M38","PB","Microtus sp.",,"m","New; Collected","Male","Scrotal",40.00,18.00,13.00,28.00,,
4,7/22/2012 0:00:00,"556H","SY","F31","PB","Phenacomys intermedius",,"n","New; Collected","Female","Non-reprod.",25.00,16.00,13.00,16.00,,"Originally called Microtus sp. ID verified with skull"
5,7/22/2012 0:00:00,"556H","SK","M1","Seed","Microtus sp.",,"o","New; Collected","Female","Non-reprod.",27.00,17.00,11.00,13.50,,
6,7/22/2012 0:00:00,"556H","SK","M28","Seed","Microtus sp.",,"p","New; Collected","Male","Scrotal",42.00,19.00,15.00,32.00,,
7,7/18/2012 0:00:00,"556H","SK","F42","PB","Myodes gapperi",1000.00,"1000","Toe clip","Male","Scrotal",41.00,19.00,14.00,21.50,,
8,7/19/2012 0:00:00,"556H","JH","F42","PB","Myodes gapperi",2000.00,"2000","Toe clip","Male","Non-scrotal",36.00,17.00,10.00,17.00,,
9,7/20/2012 0:00:00,"556H","SK","F42","PB","Myodes gapperi",2000.00,"2000","Recap","Male","Non-scrotal",,,,18.50,,
10,7/20/2012 0:00:00,"556H","JB","F45","Seed","Myodes gapperi",3000.00,"3000","Toe clip","Male","Scrotal",40.00,18.00,14.00,21.50,,
11,7/21/2012 0:00:00,"556H","SK","F42","PB","Myodes gapperi",3000.00,"3000","Recap","Male","Scrotal",,,,23.50,,
12,7/21/2012 0:00:00,"556H","SK","F66","PB","Myodes gapperi",4000.00,"4000","Toe clip","Male","Scrotal",45.00,17.00,15.00,24.00,,
13,7/22/2012 0:00:00,"556H","JH","F74","PB","Myodes gapperi",4000.00,"4000","Recap","Male","Scrotal",,,,23.00,,
14,7/22/2012 0:00:00,"556H","JB","F45","Seed","Myodes gapperi",,"q","New, released","Male","Scrotal",42.00,17.00,14.00,22.50,,
