"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26"
1,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Forest","Clethrionomys gapperi","F38","0100","Toe clip","Male","Scrotal",16.00,"Seed",,32.00,18.00,15.00,,,,,,,,,
2,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Forest","Clethrionomys gapperi","F44","0100","Recap","Male","Scrotal",16.50,"PB",,,,,,,,,,,,,
3,616.00,"3200-3300","SK, JH, WW, AW, RP",8/5/2011 0:00:00,"Forest","Clethrionomys gapperi","F46","1000","Toe clip","Female","Reprod.",28.00,"PB",,37.00,17.00,13.00,,,,,,,,,
4,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Forest","Clethrionomys gapperi","F49","1000","Recap","Female","Reprod.",28.00,"PB",,,,,,,,,,,,,
5,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Forest","Clethrionomys gapperi","F46","1000","Recap","Female","Reprod.",28.00,"Seed",,,,,,,,,,,,,
6,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Riparian","Clethrionomys gapperi","W1","2000","Toe clip","Female","Non-reprod.",11.00,"Seed",,27.00,16.00,14.00,,,,,,,,,
7,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Riparian","Clethrionomys gapperi","W4","3000","Toe clip","Male","Scrotal",17.00,"PB",,31.00,19.00,13.00,,,,,,,,,
8,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Riparian","Clethrionomys gapperi","W20","4000","Toe clip","Female","Reprod.",24.50,"PB",,32.00,16.00,13.00,,,,,,,,,
9,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Forest","Clethrionomys gapperi","F9","a","Released","Female","Reprod.",27.50,"PB",,39.00,17.00,13.00,,,,,,,,,
10,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Forest","Clethrionomys gapperi","F38","b","Released","Female","Non-reprod.",15.00,"PB",,32.00,17.00,13.00,,,,,,,,,
11,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Forest","Clethrionomys gapperi","F46","c","Released","Female","Reprod.",31.00,"Seed",,42.00,20.00,13.00,,,,,,,,,
12,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Riparian","Clethrionomys gapperi ","W3","0200","Toe clip","Male","Scrotal",19.00,"Seed",,36.00,18.00,9.00,,,,,,,,,
13,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Rocky","Mustela frenata","R6","None","Released",,,,"Seed",,,,,,,,,,,,,
14,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Rocky","Ochotona princeps","R10","2372","Ear tag/Collected","X","X",77.00,"PB",,,30.00,20.00,,,,,,,,,
15,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W19","2253","Ear tag","Male","Scrotal",15.50,"Seed",,66.00,21.00,18.00,,,,,,,,,
16,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W24","2253","Recap","Male","Scrotal",15.00,"PB",,,,,,,,,,,,,
17,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W22","2253","Recap","Male","Scrotal",15.00,"PB",,,,,,,,,,,,,
18,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W22","2253","Recap","Male","Scrotal",16.00,"Seed",,,,,,,,,,,,,
19,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Meadow","Peromyscus maniculatus ","M21","2255","Ear tag","Male","Scrotal",19.00,"Seed",,64.00,20.00,13.00,,,,,,,,,
20,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Meadow","Peromyscus maniculatus ","M20","2255","Recap","Male","Scrotal",18.00,"PB",,,,,,,,,,,,,
21,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Meadow","Peromyscus maniculatus ","M21","2255","Recap ","Male","Scrotal",17.00,"Seed",,,,,,,,,,,,,
22,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W22","2255","Recap","Male","Scrotal",17.00,"PB",,,,,,,,,,,,,
23,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R11","2257","Ear tag","Male","Scrotal",17.00,"Seed",,63.00,19.00,17.00,,,,,,,,,
24,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R11","2257","Recap","Male","Scrotal",17.00,"Seed",,,,,,,,,,,,,
25,616.00,"3200-3300","SK, JH",8/8/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R18","2257","Recap","Male","Scrotal",16.50,"Seed",,,,,,,,,,,,,
26,616.00,"3200-3300","SK, JH",8/8/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R18","2257","Recap","Male","Scrotal",16.00,"PB",,,,,,,,,,,,,
27,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R18","2257","Recap","Male","Scrotal ",16.50,"Seed",,,,,,,,,,,,,
28,616.00,"3200-3300","SK, JH, WW, AW, RP",8/5/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R9","2265","Ear tag","Male","Non-scrotal",19.00,"Seed",,69.00,18.00,16.00,,,,,,,,,
29,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R6","2265","Recap","Male","Non-scrotal",17.50,"Seed",,,,,,,,,,,,,
30,616.00,"3200-3300","SK, JH, WW, AW, RP",8/5/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R20","2266","Ear tag","Male","Scrotal",16.50,"PB",,64.00,19.00,17.00,,,,,,,,,
31,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R18","2266","Recap","Male","Scrotal",16.00,"Seed",,,,,,,,,,,,,
32,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R10","2266","Recap","Male","Scrotal",19.00,"PB",,,,,,,,,,,,,
33,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R7","2266","Recap","Male","Scrotal",16.00,"Seed",,,,,,,,,,,,,
34,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R20","2266","Recap","Male","Scrotal",18.00,"Seed",,,,,,,,,,,,,
35,616.00,"3200-3300","SK, JH",8/8/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R17","2349","Ear tag","Male","X",16.00,"PB",,60.00,19.00,18.00,,,,,,,,,
36,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Rocky","Peromyscus maniculatus ","R21","2349","Recap","Male","X",17.00,"PB",,,,,,,,,,,,,
37,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W12","2358","Ear tag","Female","Reprod.",29.00,"PB",,61.00,17.00,18.00,,,,,,,,,
38,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W10","2358","Recap","Female","Reprod.",23.00,"Seed",,,,,,,,,,,,,
39,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Meadow","Peromyscus maniculatus ","M4","2364","Ear tag","Female","Non-reprod.",10.00,"Seed",,60.00,18.00,16.00,,,,,,,,,
40,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Meadow","Peromyscus maniculatus ","M4","2364","Recap","Female","Non-reprod.",9.00,"Seed",,,,,,,,,,,,,
41,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Meadow","Peromyscus maniculatus ","M4","2364","Recap","Female","Non-reprod.",9.00,"Seed",,,,,,,,,,,,,
42,616.00,"3200-3300","SK, JH, RP",8/7/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W19","2366","Ear tag","Male","Non-scrotal",11.50,"Seed",,52.00,19.00,14.00,,,,,,,,,
43,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Riparian","Peromyscus maniculatus ","W16","2366","Recap","Male","Non-scrotal",12.50,"PB",,,,,,,,,,,,,
45,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Meadow","Peromyscus maniculatus ","M33","d","Released","Female","Reprod.",21.00,"PB",,73.00,19.00,18.00,,,,,,,,,
46,616.00,"3200-3300","SK, JH",8/9/2011 0:00:00,"Forest","Peromyscus maniculatus ","F44","e","Released","Male","Non-scrotal",13.50,"PB",,57.00,20.00,15.00,,,,,,,,,
47,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Meadow","Sorex monticolus","M39","f","Collected","X","X",4.50,"PB",,,,,"ID verified with skull & dentition characteristics. Dead in trap. No ear tag (Sarah tag #46)",,,,,,,,
48,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Forest","Sorex monticolus","F30","g","Released","X","X",4.50,"Seed",,45.00,14.00,,,,,,,,,,
49,616.00,"3200-3300","SK, JH, WW, AW, RP",8/6/2011 0:00:00,"Meadow","Tamias minimus","M14","2254","Ear tag","Male","Non-scrotal",40.00,"PB",,101.00,27.00,14.00,,,,,,,,,
50,616.00,"3200-3300","SK, JH, RP, AW, WW",8/8/2011 0:00:00,"Meadow","Tamias minimus","M36","2254","Recap","Male","Non-scrotal",40.00,"Seed",,,,,,,,,,,,,
