"ID","Date","Site .","Transect","Elevation","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK Toe Clip Info","SK notes"
1,"8/4/2010 am","A1","Forest",,"Microtus ochrogaster","F19","1000","toe clip","Female","Reprod.",54.50,"pb",,38.00,18.00,12.00,"1-1",
2,"8/6/2010 am","A1","Forest",,"Microtus pennsylvanicus","F19","2000","toe clip","Male","Scrotal",34.00,"pb",,49.00,19.00,10.00,"1-2","Originally called M ochrogaster. Tail seems long, so probably pennsylvanicus"
3,"8/7/2010 am","A1","Meadow",,"Microtus ochrogaster","M18","a","new, no mark","Male","Scrotal",32.00,"seed",,,,,"--",
4,"8/5/2010 am","A1","Meadow",,"Microtus ochrogaster (?)","M18","0010","toe clip","Male","Non-scrot.",40.00,"seed",,28.00,19.00,11.00,"3-1",
5,"8/4/2010 am","A1","Rocky",,"Neotoma mexicana","R44","441","ear tag","Male","X",118.00,"seed",,,,,,
6,"8/7/2010 am","A1","Rocky",,"Neotoma mexicana","R43","441","recap","Male","X",125.00,"pb",,,,,,
7,"8/4/2010 am","A1","Rocky",,"Peromyscus maniculatus","R34","110","ear tag","Male","Non-scrot.",12.00,"pb",,,,,,
8,"8/4/2010 am","A1","Rocky",,"Peromyscus maniculatus","R29","112","ear tag","Female","Non-reprod.",15.00,"pb",,,,,,
9,"8/3/2010 am","A1","Meadow",,"Peromyscus maniculatus","M19","135","ear tag","Male","Non-scrot.",15.50,"pb",,,,,,
10,"8/4/2010 am","A1","Meadow",,"Peromyscus maniculatus","M19","135","recap","Male","Non-scrot.",14.00,"seed","tag noted as 235, but doesn’t exist, probably 135",,,,,
11,"8/5/2010 am","A1","Meadow",,"Peromyscus maniculatus","M19","135","recap","Male","Non-scrot.",14.00,"seed",,,,,,
12,"8/6/2010 am","A1","Meadow",,"Peromyscus maniculatus","M8","135","recap","Male","Non-scrot.",14.00,"pb","tag noted as 139, but doesn’t exist, probably 135",,,,,
13,"8/5/2010 am","A1","Rocky",,"Peromyscus maniculatus","R26","158","ear tag","Female","X",14.00,"seed",,,,,,
