"ID","Date","Site .","Transect","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
1,6/15/2012 0:00:00,"Airport",,"SK","R36","PB","Neotoma albigula",2477.00,"2477","Ear tag","Female","Reprod.",142.00,31.00,26.00,130.00,"Called N. mex when first caught, but check of hairs on 18 June make it N. alb","ID verified with skull"
2,6/16/2012 0:00:00,"Airport",,"SK","R36","Seed","Neotoma albigula",2477.00,"2477","Recap","Female","Reprod.",,,,,"Fell off scale before measurement taken","ID verified with skull"
3,6/17/2012 0:00:00,"Airport",,"JMH","R36","Seed","Neotoma albigula",2477.00,"2477","Recap","Female","Reprod.",,,,121.00,,"ID verified with skull"
4,6/18/2012 0:00:00,"Airport",,"SK","R36","Seed","Neotoma albigula",2477.00,"2477","Recap","Female","Reprod.",,,,128.00,"Chest hairs white at base","ID verified with skull"
5,6/18/2012 0:00:00,"Airport",,"SK","R40","PB","Neotoma albigula",3973.00,"3973","Ear tag","Female","Non-reprod.",117.00,28.00,23.00,85.00,"Chest hairs white at base",
6,6/19/2012 0:00:00,"Airport",,"SK","R40","PB","Neotoma albigula",3973.00,"3973","Recap","Female","Non-reprod.",,,,78.00,"Chest hairs white at base",
7,6/17/2012 0:00:00,"Airport",,"SY","R23","Seed","Neotoma mexicana",2039.00,"2039","Ear tag","Female","Non-reprod.",112.00,28.00,19.00,61.00,,
8,6/19/2012 0:00:00,"Airport",,"SK","R23","PB","Neotoma mexicana",2039.00,"2039","Recap","Female","Non-reprod.",,,,58.00,"Chest hairs grey at base",
9,6/16/2012 0:00:00,"Airport",,"SK","R30","Seed","Neotoma mexicana",2430.00,"2430","Ear tag","Male","Non-scrotal",127.00,31.00,23.00,112.00,,
10,6/17/2012 0:00:00,"Airport",,"SY","R32","Seed","Neotoma mexicana",2430.00,"2430","Recap","Male","Non-scrotal",,,,109.00,,
11,6/19/2012 0:00:00,"Airport",,"SK","R36","PB","Neotoma mexicana",2430.00,"2430","Recap","Male","Non-scrotal",,,,105.00,"Chest hairs grey at base",
12,6/15/2012 0:00:00,"Airport",,"SK","R16","Seed","Neotoma mexicana",2433.00,"2433","Ear tag","Female","Reprod.",157.00,30.00,22.00,142.00,,
13,6/16/2012 0:00:00,"Airport",,"SK","R10","PB","Neotoma mexicana",2433.00,"2433","Recap","Female","Reprod.",,,,132.00,,
14,6/17/2012 0:00:00,"Airport",,"JMH","R8","PB","Neotoma mexicana",2433.00,"2433","Recap","Female","Reprod.",,,,139.00,,
15,6/19/2012 0:00:00,"Airport",,"JB","R14","Seed","Neotoma mexicana",2433.00,"2433","Recap","Female","Reprod.",,,,135.00,"Chest hairs grey at base",
16,6/15/2012 0:00:00,"Airport",,"SK","R24","PB","Neotoma mexicana",2454.00,"2454","Ear tag","Male","Non-scrotal",100.00,28.00,22.00,64.00,"Wound on tail as if caught in door. Called Female NR in hand, but Male NS on later captures",
17,6/17/2012 0:00:00,"Airport",,"JMH","R26","PB","Neotoma mexicana",2454.00,"2454","Recap","Male","Non-scrotal",,,,60.00,,
18,6/18/2012 0:00:00,"Airport",,"SK","R26","PB","Neotoma mexicana",2454.00,"2454","Recap","Male","Non-scrotal",,,,63.00,"Injured tail. Confirmed sex. Chest hairs grey at base",
19,6/16/2012 0:00:00,"Airport",,"JB","R22","PB","Neotoma mexicana",2458.00,"2458","Ear tag","Female","Non-reprod.",,28.00,22.00,63.00,"Broken tail tip",
20,6/17/2012 0:00:00,"Airport",,"JMH","R22","PB","Neotoma mexicana",2458.00,"2458","Recap","Female","Non-reprod.",,,,61.00,"Torn ear. Called Male NS in hand, but Female NR day before",
21,6/18/2012 0:00:00,"Airport",,"JB","R22","PB","Neotoma mexicana",2458.00,"2458","Recap","Female","Non-reprod.",,,,58.00,"Confirmed sex. Chest hairs grey at base",
22,6/15/2012 0:00:00,"Airport",,"JHH","R17","PB","Neotoma mexicana",2459.00,"2459","Ear tag","Male","Non-scrotal",113.00,31.00,23.00,103.00,,
23,6/17/2012 0:00:00,"Airport",,"JMH","R14","PB","Neotoma mexicana",2459.00,"2459","Recap","Male","Non-scrotal",,,,100.00,,
24,6/18/2012 0:00:00,"Airport",,"JB","R19","PB","Neotoma mexicana",2459.00,"2459","Recap","Male","Non-scrotal",,,,100.00,"Chest hairs grey at base",
25,6/18/2012 0:00:00,"Airport",,"SK","R16","Seed","Neotoma mexicana",3950.00,"3950","Ear tag","Male","Non-scrotal",27.00,30.00,21.00,95.00,"Chest hairs grey at base",
26,6/17/2012 0:00:00,"Airport",,"SY","R12","PB","Neotoma mexicana",3978.00,"3978","Ear tag","Female","Reprod.",155.00,30.00,30.00,175.00,,
27,6/19/2012 0:00:00,"Airport",,"SK","R18","PB","Neotoma mexicana",3978.00,"3978","Recap","Female","Reprod.",,,,156.00,"Chest hairs grey at base",
28,6/18/2012 0:00:00,"Airport",,"JMH","R4","PB","Neotoma mexicana",3998.00,"3998","Ear tag","Male","Scrotal",148.00,31.00,24.00,163.00,"Chest hairs grey at base",
29,6/19/2012 0:00:00,"Airport",,"JMH","M33","Seed","Neotoma mexicana",,"a","New, released","Male","Scrotal",127.00,30.00,21.00,105.00,"Chest hairs grey at base",
30,6/19/2012 0:00:00,"Airport",,"SK","R10","Seed","Neotoma mexicana",,"b","New, released","Male","Non-scrotal",134.00,31.00,22.00,104.00,"Chest hairs grey at base",
31,6/18/2012 0:00:00,"Airport",,"JB","R13","Seed","Neotoma mexicana",2410.00,"2410","Ear tag","Male","Non-scrotal",65.00,25.00,17.00,25.00,"Same species as Ear tag 2479. Juvenile N. mex?",
32,6/16/2012 0:00:00,"Airport",,"JB","R10","Seed","Neotoma mexicana",2479.00,"2479","Ear tag","Male","Non-scrotal",73.00,28.00,17.00,26.00,"Very small N. mex.? Juvenile?","ID verified with skull"
33,6/17/2012 0:00:00,"Airport",,"JMH","R10","Seed","Neotoma mexicana",2479.00,"2479","Recap, collected","Male","Non-scrotal",,,,23.00,,"ID verified with skull"
34,6/18/2012 0:00:00,"Airport",,"SK","R8","PB","Neotoma mexicana",3969.00,"3969","Ear tag","Male","Non-scrotal",71.00,24.00,19.00,25.00,"Same species as  Ear tag 2479. Juvenile N. mex?",
35,6/19/2012 0:00:00,"Airport",,"JHH","R8","Seed","Neotoma mexicana",3969.00,"3969","Recap","Male","Non-scrotal",,,,22.00,"Chest hairs grey at base",
36,6/19/2012 0:00:00,"Airport",,"JB","R36","Seed","Neotoma mexicana",,"c","New, released","Female","Non-reprod.",97.00,27.00,18.00,41.00,"Same species as  Ear tag 2479. Juvenile N. mex?",
37,6/17/2012 0:00:00,"Airport",,"JB","F20","PB","Perognathus flavus",,"0001","Toe clip","Male","Non-scrotal",56.00,16.00,6.00,6.50,,
38,6/18/2012 0:00:00,"Airport",,"JMH","F20","PB","Perognathus flavus",,"0001","Recap","Male","Non-scrotal",,,,6.00,"Called Female NR in hand, but I remember from yesterday was a Male NS",
39,6/19/2012 0:00:00,"Airport",,"SY","F20","PB","Perognathus flavus",,"0001","Recap","Male","Non-scrotal",,,,6.50,"Called scrotal in hand, but other captures were NS",
40,6/17/2012 0:00:00,"Airport",,"JB","M42","Seed","Perognathus flavus",,"0002","Toe clip","Female","Non-reprod.",55.00,15.00,7.00,6.50,,
