"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26"
1,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus","W11","a","Collected","Female","NR",11.00,"PB","Dead in trap",27.00,17.00,9.00,"ID verified with external, skull & dentition characteristics, originally noted as M. montanus? Dead in trap; no ear tag",,,,,,,,,,
2,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W5","b","NEW","Male","NS",12.00,"SEED",,,,,,,,,,,,,,,
3,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W7","c","NEW","Female","NR",18.00,"SEED",,,,,,,,,,,,,,,
4,8/6/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F37","0001","Marked","Male","S",20.00,"PB",,,,,,,,,,,,,,,
5,8/7/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F35","0001","Recap","Male","S",20.00,"PB",,,,,,,,,,,,,,,
6,8/8/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F37","0001","Recap","Male","S",19.50,"PB",,,,,,,,,,,,,,,
7,8/9/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F23","0001","Recap","Male","S",20.00,"PB",,,,,,,,,,,,,,,
8,8/6/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F43","0002","Marked","Male","S",21.00,"PB",,,,,,,,,,,,,,,
9,8/8/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F44","0002","Recap","Male","S",21.00,"PB",,,,,,,,,,,,,,,
10,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W42","0005","Marked","Male","S",12.00,"PB",,,,,,,,,,,,,,,
11,8/5/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F44","0010","Marked","Female","R",25.00,"PB",,,,,,,,,,,,,,,
12,8/9/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F36","0010","Recap","Female","R",23.00,"SEED",,,,,,,,,,,,,,,
13,8/5/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F37","0020","Marked","Male","S",24.00,"SEED",,,,,,,,,,,,,,,
14,8/6/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F44","0020","Recap","Male","S",22.00,"PB",,,,,,,,,,,,,,,
15,8/7/2011 0:00:00,"Beaver Ponds","Forest","Myodes gapperi","F42","0020","Recap","Male","S",23.00,"PB",,,,,,,,,,,,,,,
16,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W44","0020","Recap","Male","S",21.00,"SEED","long move from forest, but appears correct",,,,,,,,,,,,,,
17,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W49","0020","Recap","Male","S",20.00,"PB","long move from forest, but appears correct",,,,,,,,,,,,,,
18,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W25","0040","Marked","Female","R",22.00,"SEED",,,,,,,,,,,,,,,
19,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W27","0040","Recap","Female","R",20.00,"PB",,,,,,,,,,,,,,,
20,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W26","0040","Recap","Female","R",21.00,"PB",,,,,,,,,,,,,,,
21,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W35","0050","Marked","Female","NR",7.00,"PB","escaped",,,,,,,,,,,,,,
22,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W35","0050","Recap","Female","NR",8.00,"PB",,,,,,,,,,,,,,,
23,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W35","0050","Recap","Female","NR",7.50,"PB",,,,,,,,,,,,,,,
24,8/5/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W15","0100","Marked","Female","R",20.00,"SEED",,,,,,,,,,,,,,,
25,8/6/2011 0:00:00,"Beaver Ponds","Riparian","Myodes gapperi","W14","0100","Recap","Female","R",21.00,"SEED",,,,,,,,,,,,,,,
