"ID","Date","Site .","Transect","Elevation","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","SK notes","tail","hindfoot","ear","SK Toe Clip Info"
1,"8/12/2010 am","C1","Forest",,"Clethrionomys gapperi","F16","1000","toe clip","Female","Reprod.",24.00,"seed",,,38.00,16.00,14.00,"1-1"
2,"8/13/2010 am","C1","Forest",,"Clethrionomys gapperi","F14","1000","recap","Female","Reprod.",24.00,"pb",,,,,,"1-1"
3,"8/14/2010 am","C1","Forest",,"Clethrionomys gapperi","F9","1000","recap","Female","Reprod.",27.40,"pb",,,,,,"1-1"
4,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F16","1000","recap","Female","Reprod.",25.00,"pb",,,,,,"1-1"
5,"8/16/2010 am","C1","Forest",,"Clethrionomys gapperi","F12","1000","recap","Female","Reprod.",27.00,"pb",,,,,,"1-1"
6,"8/12/2010 am","C1","Riparian",,"Clethrionomys gapperi","W71","3000","toe clip","Male","Scrotal",20.50,"seed",,,39.00,15.00,14.00,"1-3"
7,"8/13/2010 am","C1","Riparian",,"Clethrionomys gapperi","W50","4000","toe clip","Male","Scrotal",16.25,"seed",,,,,,"1-4"
8,"8/14/2010 am","C1","Riparian",,"Clethrionomys gapperi","W26","0100r","toe clip","Female","Non-reprod.",16.00,"pb",,,,,,"2-1"
9,"8/15/2010 am","C1","Riparian",,"Clethrionomys gapperi","W28","0100r","recap","Female","Non-reprod.",16.00,"pb","original notation was non-scrotal male, but other two captures were female",,,,,"2-1"
10,"8/16/2010 am","C1","Riparian",,"Clethrionomys gapperi","W27","0100r","recap","Female","Non-reprod.",15.00,"pb",,,,,,"2-1"
11,"8/14/2010 am","C1","Forest",,"Clethrionomys gapperi","F14","0100f","toe clip","Male","Scrotal",21.00,"pb",,,,,,"2-1"
12,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F23","0100f","recap","Male","Scrotal",20.00,"pb",,,,,,"2-1"
13,"8/14/2010 am","C1","Forest",,"Clethrionomys gapperi","F16","0200","toe clip","Male","Scrotal",23.25,"pb",,,,,,"2-2"
14,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F5","0200","recap","Male","Scrotal",22.00,"pb","trap number re-checked, is correct",,,,,"2-2"
15,"8/16/2010 am","C1","Forest",,"Clethrionomys gapperi","F13","0200","recap","Male","Scrotal",20.75,"pb",,,,,,"2-2"
16,"8/14/2010 am","C1","Forest",,"Clethrionomys gapperi","F36","0300","toe clip","Female","Reprod.",28.00,"pb",,,,,,"2-3"
17,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F44","0300","dead, collected","Female","Reprod.",,"pb",,"Identification verified using lower jaw dentition (Check identity with 604 for toes clip)",,,,"2-3"
18,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F6","0010","toe clip","Male","Scrotal",16.00,"pb",,,,,,"3-1"
19,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F22","0020","toe clip","Male","Scrotal",15.50,"pb",,,,,,"3-2"
20,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F57","0030","toe clip","Female","Reprod.",21.00,"pb",,,,,,"3-3"
21,"8/15/2010 am","C1","Forest",,"Clethrionomys gapperi","F69","0040","toe clip","Female","Non-reprod.",13.00,"seed",,,,,,"3-4"
22,"8/13/2010 am","C1","Riparian",,"Clethrionomys gapperi","W69","a","dead, collected","Female","Reprod.",19.25,"seed",,"Not in Collected DB",,,,"--"
23,"8/16/2010 am","C1","Riparian",,"Clethrionomys gapperi","W7","b","new; no mark","Male","Non-scrot.",21.00,"seed",,,,,,"--"
25,"8/16/2010 am","C1","Riparian",,"Clethrionomys gapperi","W31","c","new; no mark","Male","Scrotal",16.00,"pb",,,,,,"--"
26,"8/16/2010 am","C1","Riparian",,"Clethrionomys gapperi","W63","d","new; no mark","Male","Scrotal",20.00,"seed",,,,,,"--"
27,"8/16/2010 am","C1","Forest",,"Clethrionomys gapperi","F56","e","new; no mark","Male","Scrotal",15.00,"pb",,,,,,"--"
28,"8/16/2010 am","C1","Forest",,"Clethrionomys gapperi","F16","f","new; no mark","Male","Scrotal",19.00,"pb",,,,,,"--"
29,"8/16/2010 am","C1","Forest",,"Clethrionomys gapperi","F19","g","new; no mark","Male","Non-scrot.",14.25,"pb",,,3.00,15.00,11.00,"--"
