"ID","Date","Site .","Elevation","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear"
1,"7/15/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W17","228","ear tag","Female","Reproductive",22.00,"pb",,,,
2,"7/15/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W13","229","ear tag","Female","Reproductive",20.00,"pb",,,,
3,"7/16/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W12","229","recap","Female","Reproductive",19.00,"pb",,,,
4,"7/15/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W11","230","ear tag","Male","Non-scrotal",12.00,"pb",,,,
5,"7/15/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W9","231","ear tag","X","X",22.50,"pb","sex unknowable",,,
6,"7/17/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W9","231","recap","X","X",22.00,"pb","sex unknowable",,,
7,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F2","232","ear tag","Female","Non-reprod.",10.50,"pb",,,,
8,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F4","233","ear tag","Female","Non-reprod.",10.00,"seed",,,,
9,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F3","233","recap","Female","Non-reprod.",10.50,"pb",,,,
10,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F5","235","ear tag","Female","Reproductive",17.00,"pb",,,,
11,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F13","236","ear tag","Male","Non-scrotal",12.00,"pb",,,,
12,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F14","237","ear tag","Male","Non-scrotal",14.00,"seed",,,,
13,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F14","237","recap","Male","Non-scrotal",14.00,"seed","noted as NR female, but other two captures NS males",,,
14,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R8","237","recap","Male","Non-scrotal",13.50,"pb",,,,
15,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M1","239","ear tag","Female","Reproductive",16.00,"pb",,,,
16,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M1","239","recap","Female","Reproductive",16.00,"pb",,,,
17,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M9","241","ear tag","Female","Non-reprod.",7.00,"seed",,,,
18,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M14","242","ear tag","Female","Reproductive",16.00,"pb",,,,
19,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M20","243","ear tag","Male","Scrotal",16.00,"pb",,,,
20,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M39","246","ear tag","Female","Reproductive",16.00,"pb",,,,
21,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M45","247","ear tag","Female","Non-reprod.",12.50,"seed",,,,
22,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M45","247","recap","Female","Non-reprod.",11.00,"seed",,,,
23,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M49","248","ear tag","Male","Scrotal",10.50,"pb",,,,
24,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M50","249","ear tag","Female","Reproductive",21.00,"pb",,,,
25,"7/16/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W22","250","ear tag","Male","Scrotal",12.50,"pb",,,,
26,"7/16/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W6","277","ear tag","Male","Scrotal",16.00,"pb",,,,
27,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F3","401","ear tag","Male","Non-scrotal",12.50,"pb",,,,
28,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F4","401","recap","Male","Non-scrotal",13.00,"pb",,,,
29,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F1","401","recap","Male","Non-scrotal",12.00,"seed",,,,
30,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F4","402","ear tag","Male","Non-scrotal",13.00,"seed",,,,
31,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F2","402","recap","Male","Non-scrotal",15.00,"seed",,,,
32,"7/17/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F2","402","recap","Male","Non-scrotal",14.00,"seed",,,,
33,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F5","403","ear tag","Male","Non-scrotal",11.00,"seed",,,,
34,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F4","403","recap","Male","Non-scrotal",12.00,"seed",,,,
35,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M48","405","ear tag","Male","Non-scrotal",12.50,"pb",,,,
36,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M50","406","ear tag","Female","Non-reprod.",13.50,"pb",,,,
37,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M49","407","ear tag","Male","Non-scrotal",14.50,"pb",,,,
38,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M36","408","ear tag","Female","Non-reprod.",15.00,"seed",,,,
39,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M34","408","recap","Female","Non-reprod.",15.00,"seed",,,,
40,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M48","409","ear tag","Male","Scrotal",14.00,"seed",,,,
41,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M20","410","ear tag","Female","Reproductive",15.00,"pb",,,,
42,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M17","411","ear tag","Female","Reproductive",20.00,"pb",,,,
43,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M13","412","ear tag","Female","Reproductive",15.00,"pb",,,,
44,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M13","412","recap","Female","Reproductive",14.00,"?",,,,
45,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M13","412","recap","Female","Reproductive",13.50,"pb",,,,
46,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M4","413","ear tag","Male","Scrotal",14.00,"pb",,,,
47,"7/13/2010 am","Cedar Park","~2100m",,"Peromyscus maniculatus","Da cabin","414","ear tag","Male","Non-scrotal",14.50,"--","extra trap, but two traps missing this day so count",,,
48,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R3","417","ear tag","Female","Non-reprod.",18.00,"pb",,,,
49,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R3","417","recap","Female","Non-reprod.",16.00,"seed",,,,
50,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R3","417","recap","Female","Non-reprod.",18.00,"pb",,,,
51,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R3","418","ear tag","Male","Scrotal",18.00,"seed",,,,
52,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R3","418","recap","Male","Scrotal",19.00,"seed","noted as #416 recap, but doesn’t exist, probably #418",,,
53,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R6","419","ear tag","Female","Non-reprod.",12.50,"seed",,,,
54,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R8","419","recap","Female","Non-reprod.",13.00,"seed",,,,
55,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R8","419","recap","Female","Non-reprod.",12.00,"seed","ear tag number unclearly written (412?413? these don’t exist); based on location, sex, wgt appears to best fit #419",,,
56,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R4","419","recap","Female","Non-reprod.",12.00,"seed",,,,
57,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R10","420","ear tag","Female","Reproductive",13.50,"seed",,,,
58,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R8","420","recap","Female","Reproductive",14.50,"seed","noted as #421 recap, but other captures were larger scrotal male, probably #420",,,
59,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R11","420","recap","Female","Reproductive",14.00,"seed",,,,
60,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R13","421","ear tag","Male","Scrotal",18.00,"seed",,,,
61,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F20","421","recap","Male","Scrotal",18.50,"seed",,,,
62,"7/16/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R14","421","recap","Male","Scrotal",18.00,"?",,,,
63,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R14","421","recap","Male","Scrotal",17.00,"seed",,,,
64,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R14","422","ear tag","Female","Reproductive",18.00,"seed",,,,
65,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R14","422","recap","Female","Reproductive",18.00,"seed",,,,
66,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R17","422","recap","Female","Reproductive",19.00,"pb",,,,
67,"7/16/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R13","422","recap","Female","Reproductive",18.00,"seed",,,,
68,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R14","423","ear tag","Female","Non-reprod.",9.00,"pb",,,,
69,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R16","424","ear tag","Female","Non-reprod.",12.00,"seed",,,,
70,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R15","424","recap","Female","Non-reprod.",12.00,"pb",,,,
71,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R16","424","recap","Female","Non-reprod.",11.00,"pb",,,,
72,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R18","424","recap","Female","Non-reprod.",11.00,"seed",,,,
73,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R22","425","ear tag","Female","Reproductive",17.50,"?",,,,
74,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R22","425","recap","Female","Reproductive",17.00,"seed","double cap 2",,,
75,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R26","425","recap","Female","Reproductive",18.00,"pb",,,,
76,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W9","426","ear tag","Male","Non-scrotal",16.00,"pb",,,,
77,"7/14/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W8","426","recap","Male","Non-scrotal",15.00,"seed","double cap 2; noted as NR female, but other two captures NS males",,,
78,"7/15/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W10","426","recap","Male","Non-scrotal",14.00,"seed",,,,
79,"7/14/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W7","427","ear tag","Female","Non-reprod.",13.00,"seed","noted as recap, but appears to be an ear tag",,,
80,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W5","428","ear tag","Female","Reproductive",11.50,"pb",,,,
81,"7/14/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W5","428","recap","Female","Reproductive",17.00,"pb",,,,
82,"7/17/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W4","428","recap","Female","Reproductive",21.50,"pb",,,,
83,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W4","429","ear tag","Male","Scrotal",16.00,"seed",,,,
84,"7/14/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W5","429","recap","Male","Scrotal",14.00,"seed",,,,
85,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W3","430","ear tag","Female","Reproductive",19.00,"seed",,,,
86,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F1","432","ear tag","Female","Non-reprod.",13.00,"seed",,,,
87,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F1","432","recap","Female","Non-reprod.",12.00,"seed",,,,
88,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F7","433","ear tag","Female","Reproductive",16.00,"seed",,71.00,19.00,
89,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F7","433","recap","Female","Reproductive",15.00,"pb",,,,
90,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F8","433","recap","Female","Reproductive",14.00,"pb",,,,
91,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F7","433","recap","Female","Reproductive",18.50,"pb",,,,
92,"7/17/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F10","433","recap","Female","Reproductive",14.00,"pb",,,,
93,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F8","434","ear tag","Female","Reproductive",18.00,"seed",,,,
94,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F6","434","recap","Female","Reproductive",16.00,"pb",,,,
95,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F5","434","recap","Female","Reproductive",20.00,"seed",,,,
96,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F6","434","recap","Female","Reproductive",16.50,"pb",,,,
97,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F22","435","ear tag","Female","Non-reprod.",9.00,"pb",,,,
98,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F23","435","recap","Female","Non-reprod.",9.50,"seed",,,,
99,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F31","436","ear tag","Male","Non-scrotal",12.50,"seed",,,,
100,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F31","436","recap","Male","Non-scrotal",13.00,"seed","noted as NR female, but other 4 captures NS males",,,
101,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F31","436","recap","Male","Non-scrotal",13.50,"pb",,,,
102,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F28","436","recap","Male","Non-scrotal",11.50,"pb",,,,
103,"7/17/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F28","436","recap","Male","Non-scrotal",,"?","noted as #432, but far from other captures, probably #436",,,
104,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F32","437","ear tag","Male","Non-scrotal",12.00,"pb",,,,
105,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F33","437","recap","Male","Non-scrotal",11.50,"seed",,,,
106,"7/17/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F31","437","recap","Male","Non-scrotal",12.00,"pb",,,,
107,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F33","438","ear tag","Female","Non-reprod.",11.50,"seed",,,,
108,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F33","438","recap","Female","Non-reprod.",,"seed","escaped (due to locality and dates 438 or 440?)",,,
109,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F34","438","recap","Female","Non-reprod.",11.50,"seed",,,,
110,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F34","438","escaped","Female","Non-reprod.",,"pb","due to locality and dates may be 438",,,
111,"7/17/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F34","438","recap","Female","Non-reprod.",13.50,"pb",,,,
112,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F35","439","ear tag","Male","Scrotal",13.50,"pb",,,,
113,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F35","440","ear tag","Female","Non-reprod.",11.00,"seed",,,,
114,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F33","440","recap","Female","Non-reprod.",12.00,"seed",,,,
115,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F34","440","recap","Female","Non-reprod.",10.50,"seed",,,,
116,"7/17/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F32","440","recap","Female","Non-reprod.",10.50,"pb",,,,
117,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F38","441","ear tag","Female","Reproductive",16.50,"pb",,,,
118,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F39","441","recap","Female","Reproductive",21.00,"pb",,,,
119,"7/17/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F39","441","recap","Female","Reproductive",19.00,"seed",,,,
120,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R35","442","ear tag","Female","Reproductive",19.00,"pb",,,,
121,"7/16/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R27","442","recap","Female","Reproductive",21.50,"pb",,,,
122,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R32","444","ear tag","Female","Non-reprod.",13.50,"pb",,,,
123,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R30","444","recap","Female","Non-reprod.",12.50,"seed",,,,
124,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R32","444","recap","Female","Non-reprod.",12.00,"pb",,,,
125,"7/16/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R31","444","recap","Female","Non-reprod.",11.50,"pb",,,,
126,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R31","444","recap","Female","Non-reprod.",12.50,"pb",,,,
127,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R31","445","ear tag","Female","Reproductive",17.00,"pb",,,,
128,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R34","445","recap","Female","Reproductive",18.00,"pb",,,,
129,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R30","445","recap","Female","Reproductive",19.00,"seed",,,,
130,"7/16/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R32","445","recap","Female","Reproductive",17.50,"pb",,,,
131,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R32","445","recap","Female","Reproductive",17.00,"pb",,,,
132,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R31","446","ear tag","Female","Reproductive",18.50,"seed",,,,
133,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R31","446","recap","Female","Reproductive",17.50,"pb",,,,
