"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","Field16","Field17"
1,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W27",81.00,"marked","Female","NR",17.50,"pb",,,,,,
2,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W28",81.00,"recap","Female","NR",17.50,"pb",,,,,,
3,6/4/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W28",81.00,"recap","Female","NR",18.00,"seed",,,,,,
4,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W28",81.00,"recap","Female","NR",19.00,"pb",,,,,,
5,6/2/2011 0:00:00,"Cow Camp","Forest","Peromyscus maniculatus","F2",83.00,"marked","Male","S",16.00,"pb",,,,,,
6,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W40",83.00,"recap","Male","S",16.50,"seed",,,,,,
7,6/4/2011 0:00:00,"Cow Camp","Forest","Peromyscus maniculatus","F5",83.00,"recap","Male","S",16.00,"pb",,,,,,
8,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W37",83.00,"recap","Male","S",16.00,"pb",,,,,,
9,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W11",84.00,"marked","Male","S",18.50,"seed",,,,,,
10,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W11",84.00,"recap","Male","S",19.00,"seed",,,,,,
11,6/4/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W11",84.00,"recap","Male","S",19.00,"seed",,,,,,
12,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W12b",84.00,"recap","Male","S",20.00,"seed",,,,,,
13,6/1/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W38",87.00,"marked","Female","NR",14.00,"?",,,,,,
14,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W40",87.00,"recap","Female","NR",14.00,"pb",,,,,,
15,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W39",87.00,"recap","Female","NR",13.00,"pb",,,,,,
16,6/4/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W40",87.00,"recap","Female","NR",14.00,"pb",,,,,,
17,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W40",87.00,"recap","Female","NR",15.00,"seed",,,,,,
18,6/1/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W28",88.00,"marked","Female","NR",15.00,"?",,,,,,
19,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W33",88.00,"recap","Female","NR",15.00,"pb",,,,,,
20,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W37",88.00,"recap, collected","Female","NR",13.00,"?","dead in trap, missed in am",,,,,
21,6/1/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W14",89.00,"marked","Female","NR",18.50,"?",,,,,,
22,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W10",89.00,"recap","Female","NR",18.00,"pb",,,,,,
23,6/4/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W11",89.00,"recap","Female","NR",17.00,"pb",,,,,,
24,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W10",89.00,"recap","Female","NR",18.00,"pb",,,,,,
25,6/1/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W7",90.00,"marked","Female","NR",18.00,"?",,,,,,
26,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W10",90.00,"recap","Female","NR",19.00,"seed",,,,,,
27,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W7",90.00,"recap","Female","NR",16.50,"pb",,,,,,
28,6/4/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W10",90.00,"recap","Female","NR",18.00,"pb",,,,,,
29,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W5",90.00,"recap","Female","NR",20.00,"pb",,,,,,
30,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W7",92.00,"marked","Male","S",21.50,"pb",,,,,,
31,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W12",92.00,"recap","Male","S",19.50,"seed",,,,,,
32,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W6",92.00,"recap","Male","S",20.50,"seed",,,,,,
33,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W24",93.00,"marked","Female","NR",21.50,"seed",,,,,,
34,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W25",93.00,"recap, collected","Female","NR",19.00,"?","dead in trap, missed in am",,,,,
35,6/2/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W12",94.00,"marked","Male","S",20.00,"seed",,,,,,
36,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W10",94.00,"recap","Male","S",19.00,"seed",,,,,,
37,6/4/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W7",94.00,"recap","Male","S",17.50,"pb",,,,,,
38,6/5/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W12",94.00,"recap","Male","S",20.00,"seed",,,,,,
39,6/4/2011 0:00:00,"Cow Camp","Forest","Peromyscus maniculatus","F61",340.00,"marked","Female","X",14.50,"pb",,,,,,
40,6/5/2011 0:00:00,"Cow Camp","Forest","Peromyscus maniculatus","F61",340.00,"recap","Female","X",12.00,"pb",,,,,,
41,6/4/2011 0:00:00,"Cow Camp","Forest","Peromyscus maniculatus","F33",342.00,"marked","Male","S",19.00,"pb",,,,,,
42,6/5/2011 0:00:00,"Cow Camp","Forest","Peromyscus maniculatus","F34",342.00,"recap","Male","S",18.00,"seed",,,,,,
43,6/3/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W27",348.00,"marked","Male","S",18.50,"pb",,,,,,
44,6/4/2011 0:00:00,"Cow Camp","Riparian","Peromyscus maniculatus","W24",348.00,"recap","Male","S",21.50,"pb",,,,,,
