"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
1,7/10/2012 0:00:00,"Grouse Point","SY","F2","PB","Callospermophilus lateralis",15.00,"15","Ear tag","Female","Non-reprod.",90.00,37.00,14.00,140.00,,
2,7/8/2012 0:00:00,"Grouse Point","JB","M10","PB","Callospermophilus lateralis",3759.00,"3759","Ear tag","Female","Non-reprod.",93.00,38.00,18.00,135.00,,
3,7/9/2012 0:00:00,"Grouse Point","SK","F42","PB","Callospermophilus lateralis",3792.00,"3792","Ear tag","Female","Non-reprod.",99.00,40.00,14.00,124.00,,
4,7/11/2012 0:00:00,"Grouse Point","SK","F40","PB","Callospermophilus lateralis",3792.00,"3792","Recap","Female","Non-reprod.",,,,132.00,,
5,7/8/2012 0:00:00,"Grouse Point","SK","R3","PB","Callospermophilus lateralis",3928.00,"3928","Ear tag","Male","Non-scrotal",106.00,38.00,16.00,172.00,,
6,7/8/2012 0:00:00,"Grouse Point","SY","M43","Seed","Callospermophilus lateralis",3931.00,"3931","Ear tag","Female","Reprod.",99.00,41.00,18.00,212.00,,
7,7/9/2012 0:00:00,"Grouse Point","JB","M44","PB","Callospermophilus lateralis",3931.00,"3931","Recap","Female","Reprod.",,,,235.00,,
8,7/11/2012 0:00:00,"Grouse Point","JH","M44","PB","Callospermophilus lateralis",3931.00,"3931","Recap","Female","Reprod.",,,,230.00,"Black nipples",
9,7/8/2012 0:00:00,"Grouse Point","SK","M47","PB","Callospermophilus lateralis",3938.00,"3938","Ear tag","Male","Non-scrotal",101.00,41.00,19.00,195.00,,
11,7/8/2012 0:00:00,"Grouse Point","JB","W6","Seed","Microtus montanus",,"a","Collected","Female","Non-reprod.",32.00,18.00,11.00,18.00,,
12,7/8/2012 0:00:00,"Grouse Point","SK","W7","Seed","Microtus montanus",,"b","Collected","Male","Scrotal",51.00,20.00,13.00,38.00,,
13,7/9/2012 0:00:00,"Grouse Point","SY","M49","PB","Peromyscus maniculatus",17.00,"17","Ear tag","Male","Scrotal",65.00,19.00,16.00,19.00,,
14,7/10/2012 0:00:00,"Grouse Point","SK","M45","PB","Peromyscus maniculatus",17.00,"17","Recap","Male","Scrotal",,,,16.50,,
15,7/9/2012 0:00:00,"Grouse Point","SY","W15","PB","Peromyscus maniculatus",34.00,"34","Ear tag","Male","Scrotal",69.00,20.00,18.00,21.50,,
16,7/11/2012 0:00:00,"Grouse Point","SY","W11","PB","Peromyscus maniculatus",34.00,"34","Recap","Male","Scrotal",,,,20.00,,
17,7/9/2012 0:00:00,"Grouse Point","SY","W12","PB","Peromyscus maniculatus",36.00,"36","Ear tag","Female","Non-reprod.",54.00,19.00,16.00,12.50,,
18,7/10/2012 0:00:00,"Grouse Point","SY","F46","Seed","Peromyscus maniculatus",77.00,"77","Ear tag","Male","Scrotal",67.00,18.00,16.00,17.00,,
19,7/11/2012 0:00:00,"Grouse Point","SK","F47",,"Peromyscus maniculatus",77.00,"77","Recap","Male","Scrotal",,,,16.00,"No bait written down",
20,7/10/2012 0:00:00,"Grouse Point","JB","F47","PB","Peromyscus maniculatus",78.00,"78","Ear tag","Female","Non-reprod.",56.00,18.00,15.00,12.50,,
21,7/10/2012 0:00:00,"Grouse Point","JB","F22","PB","Peromyscus maniculatus",92.00,"92","Ear tag","Male","Scrotal",70.00,20.00,18.00,19.50,,
22,7/11/2012 0:00:00,"Grouse Point","SK","F22","PB","Peromyscus maniculatus",92.00,"92","Recap","Male","Scrotal",,,,18.00,,
23,7/10/2012 0:00:00,"Grouse Point","JB","F40","PB","Peromyscus maniculatus",94.00,"94","Ear tag","Male","Scrotal",58.00,19.00,14.50,14.00,,
