"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","ID notes"
1,7/12/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M2","306","306","Recap","Male","Scrotal",15.00,"PB",,,,,
2,7/11/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M47","313","313","Marked","Male","Scrotal",17.00,"Seed",,,,,
3,7/12/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M47","313","313","Recap","Male","Scrotal",15.00,"Seed",,,,,
4,7/9/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M117","352","352","Marked","Female","Reproductive",28.00,"PB",,,,,
5,7/10/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M119","352","352","Recap","Female","Reproductive",25.00,"PB",,,,,
6,7/11/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M116","352","352","Recap","Female","Reproductive",22.50,"PB",,,,,
7,7/12/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M109","352","352","Recap","Female","Reproductive",25.00,"PB",,,,,
8,7/8/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F30","367","367","Marked","Male","Non-scrotal",18.00,"Seed",,,,,
9,7/9/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F27","367","367","Recap","Male","Non-scrotal",19.00,"Seed",,,,,
10,7/10/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F30","367","367","Recap","Male","Non-scrotal",17.00,"PB",,,,,
11,7/11/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F29","367","367","Recap","Male","Non-scrotal",18.00,"PB",,,,,
12,7/12/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F30","367","367","Recap","Male","Non-scrotal",16.00,"PB",,,,,
13,7/12/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F9","383","383","Recap","Male","Scrotal",15.00,"PB",,,,,
14,7/11/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F15","388","388","Marked","Male","Scrotal",16.50,"Seed",,,,,
15,7/11/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M41","391","391","Marked","Male","Scrotal",14.00,"PB",,,,,
16,7/11/2012 0:00:00,"Hermosa","Forest","Peromyscus maniculatus","F30","400","400","Marked","Female","Non-reprod.",14.00,"PB",,,,,
17,7/12/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M5","--","i","New","Male","Scrotal",17.00,"PB",,,,,
18,7/12/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M100","--","j","New","Male","Scrotal",20.00,"PB",,,,,
19,7/12/2012 0:00:00,"Hermosa","Meadow","Peromyscus maniculatus","M111","--","k","New","Female","Reproductive",26.00,"PB",,,,,
20,7/10/2012 0:00:00,"Hermosa","Meadow","Sorex monticolus","M89","--","l","Collected","Female","Reproductive",6.50,"PB","Dead, collected",,,,"ID verified with skull"
21,7/10/2012 0:00:00,"Hermosa","Meadow","Sorex sp.","M18","--","m","Escape","?","?",,"PB","Live, escaped when trying to collect",,,,
22,7/12/2012 0:00:00,"Hermosa","Meadow","Sorex monticolus","M73","--","n","Collected","?","?",,"Seed","Dead, collected",,,,"ID verified with skull"
23,7/11/2012 0:00:00,"Hermosa","Meadow","Spermophilus lateralis","M110","309","309","Marked","Male","Non-scrotal",162.00,"Seed",,,,,
