"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22"
1,7/23/2011 0:00:00,"Upper Hidden Valley","Forest","Lepus americanus","F76","a","--","--","X",,"PB","Baby; adorable; unfazed",,,,,,,,,,
2,7/19/2011 0:00:00,"Upper Hidden Valley","Meadow","Phenacomys intermedius","M3","0200","Marked","Female","R",35,"PB","rich brown w/ light buff underside",27.00,17.00,13.00,"ID based on similarity in measurements and description to 1000",,,,,,
3,7/20/2011 0:00:00,"Upper Hidden Valley","Meadow","Phenacomys intermedius","M3","0200","Recap","Female","R",37,"PB",,,,,"ID based on similarity in measurements and description to 1001",,,,,,
4,7/21/2011 0:00:00,"Upper Hidden Valley","Meadow","Phenacomys intermedius","M3","0200","Recap","Female","R",35,"PB",,,,,"ID based on similarity in measurements and description to 1002",,,,,,
5,7/19/2011 0:00:00,"Upper Hidden Valley","Meadow","Phenacomys intermedius","M8","1000","Marked","Female","NR",14,"SEED","rich brown w/ light buff underside",22.00,16.00,13.00,"ID verified with skull & dentition characteristics. Ear tag #997",,,,,,
6,7/21/2011 0:00:00,"Upper Hidden Valley","Meadow","Phenacomys intermedius","M5","1000","Recap","Female","NR",16,"PB",,,,,"ID verified with skull & dentition characteristics. Ear tag #998",,,,,,
7,7/22/2011 0:00:00,"Upper Hidden Valley","Meadow","Phenacomys intermedius","M7","1000","Recap","Female","NR",15,"PB",,,,,"ID verified with skull & dentition characteristics. Ear tag #999",,,,,,
8,7/23/2011 0:00:00,"Upper Hidden Valley","Meadow","Phenacomys intermedius","M6","1000","Recap","Female","NR",15,"PB","collected",23.00,17.00,11.00,"ID verified with skull & dentition characteristics. Ear tag #1000",,,,,,
9,7/21/2011 0:00:00,"Upper Hidden Valley","Meadow","Microtus sp.","M25","2400","Marked","Male","S",29,"PB",,,,,,,,,,,
10,7/21/2011 0:00:00,"Upper Hidden Valley","Riparian I","Microtus montanus","W12","b","Collected","Female","R",41,"SEED",,33.00,18.00,15.00,"ID based on tail, most skull & teeth characteristics. no ear tag; specimen tag UHV 8",,,,,,
11,7/23/2011 0:00:00,"Upper Hidden Valley","Meadow","Microtus sp.","M19","c","NEW","?","X",,"PB","collected",,,,"Specimen missing",,,,,,
12,7/23/2011 0:00:00,"Upper Hidden Valley","Meadow","Microtus longicaudus","M20","d","NEW","Male","S",40,"PB","collected",52.00,19.50,12.00,"ID verified with external, skull & dentition characteristics, originally noted as M. sp.? Weight of specimen in lab = 21.5g",,,,,,
