"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27"
1,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Ammospermophilus leucurus","R3","2310","Ear tag","Male","Non-scrotal",120.00,"PB",,68.00,39.00,9.00,,,,,,,,,,
2,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Ammospermophilus leucurus","R14","2330","Ear tag","Male","Non-scrotal",110.00,"PB",,80.00,39.00,9.00,,,,,,,,,,
3,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Ammospermophilus leucurus","R28","2330","Collected/Recap","Male","Non-scrotal",104.00,"Seed","Dead in trap with door open, collected",,,,,,,,,,,,,
4,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Microtus mexicanus?","F64","2000","Toe clip","Male","Non-scrotal",23.50,"Seed",,29.00,17.00,10.00,,,,,,,,,,
5,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Microtus mexicanus?","F64","2000","Collected/Recap","Male","Non-scrotal",21.00,"Seed","Recap, original noted as 2000, this as 1000, so must be same individual",,,,,,,,,,,,,
6,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Neotoma mexicana","R8","259","Ear tag","Male","Scrotal",147.00,"PB",,135.00,30.00,27.00,,,,,,,,,,
7,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Neotoma mexicana","F59","2312","Ear tag","Female","Reprod.",139.00,"PB",,146.00,33.00,24.00,,,,,,,,,,
8,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Neotoma mexicana","F16","2312","Recap","Female","Reprod.",145.00,"Seed",,,,,,,,,,,,,,
9,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Neotoma mexicana","F59","2312","Recap","Female","Reprod.",145.00,"PB","Tail snapped by trap",,,,,,,,,,,,,
10,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Neotoma mexicana","R1","2332","Ear tag","Female","Non-reprod.",85.00,"PB",,115.00,29.50,18.00,,,,,,,,,,
11,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Neotoma mexicana","R7","p","Released","Female","Reprod.",110.00,"Seed",,142.00,31.00,25.00,,,,,,,,,,
12,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Perognathus flavus","F1","0001","Toe clip","Male","Non-scrotal",5.50,"Seed",,54.00,20.00,5.00,,,,,,,,,,
13,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Perognathus flavus","F1","0002","Toe clip","Female","Reprod.",7.50,"PB",,52.00,16.00,7.00,,,,,,,,,,
14,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Forest","Perognathus flavus","F3","0002","Recap","Female","Reprod.",7.00,"Seed","very large movement for 0020, probably 0002",,,,,,,,,,,,,
15,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Riparian","Perognathus flavus","W13","0003","Toe clip","Male","Non-scrotal",6.50,"Seed",,51.00,15.00,7.00,,,,,,,,,,
16,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Riparian","Perognathus flavus","W13","0003","Recap","Male","Non-scrotal",7.00,"Seed",,,,,,,,,,,,,,
17,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Meadow","Perognathus flavus","M22","0004","Toe clip","Male","Non-scrotal",8.00,"Seed",,59.00,17.00,5.00,,,,,,,,,,
18,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Meadow","Perognathus flavus","M20","0004","Recap","Male","Non-scrotal",8.00,"Seed",,,,,,,,,,,,,,
19,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Perognathus flavus","F52","0010","Toe clip","Female","Non-reprod.",7.50,"PB",,47.00,16.00,6.00,,,,,,,,,,
20,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Perognathus flavus","F46","0010","Recap","Female","Non-reprod.",,"Seed","No data entered for weight",,,,,,,,,,,,,
21,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Perognathus flavus","F65","0020","Toe clip","Female","Reprod.",7.00,"PB",,46.00,16.00,6.00,,,,,,,,,,
22,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Perognathus flavus","F65","0020","Recap","Female","Reprod.",7.00,"PB",,,,,,,,,,,,,,
23,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Perognathus flavus","F46","0030","Toe clip","Male","Non-scrotal",7.25,"Seed",,50.00,16.00,5.00,,,,,,,,,,
24,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Perognathus flavus","F13","0040","Toe clip","Male","Non-scrotal",7.00,"PB",,51.00,16.00,4.00,,,,,,,,,,
25,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Perognathus flavus","F10","0040","Recap","Male","Non-scrotal",7.50,"PB",,,,,"No measurements taken, so this must be a recap.",,,,,,,,,
26,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Perognathus flavus","F8","0040","Recap","Male","Non-scrotal",7.50,"PB",,,,,,,,,,,,,,
27,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Riparian","Perognathus flavus","W7","0100","Toe clip","Male","Non-scrotal",8.50,"PB",,59.00,17.00,6.00,,,,,,,,,,
28,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Riparian","Perognathus flavus","W8","0100","Recap","Male","Non-scrotal",7.50,"PB","switch of lines, large movement for 0400; this looks like a misread from inside to outside",,,,,,,,,,,,,
29,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Perognathus flavus","F9","0200","Toe clip","Male","Non-scrotal",8.00,"Seed",,64.00,16.00,7.00,,,,,,,,,,
30,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Perognathus flavus","F9","0200","Recap","Male","Non-scrotal",8.00,"Seed",,,,,,,,,,,,,,
31,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Perognathus flavus","F8","0200","Recap","Male","Non-scrotal",8.50,"Seed",,,,,,,,,,,,,,
32,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Perognathus flavus","F8","0200","Recap","Male","Non-scrotal",8.00,"Seed",,,,,,,,,,,,,,
33,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Perognathus flavus","F6","0200","Recap","Male","Non-scrotal",8.50,"Seed","very large movement for 0300, probably 0200 (probably another misread from inside out, wrong sex info)",,,,,,,,,,,,,
34,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Meadow","Perognathus flavus","M1","0210","Toe clip","Female","Non-reprod.",8.00,"Seed",,51.00,16.00,6.00,,,,,,,,,,
35,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Meadow","Perognathus flavus","M1","0210","Recap","Female","Non-reprod.",8.00,"PB",,,,,,,,,,,,,,
