"ID","Date","Site .","Transect","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
1,7/30/2012 0:00:00,"Little Bear",,"SY","F51","Seed","Peromyscus maniculatus","3828","3828","Ear tag","Male","Non-scrotal",70.00,19.00,18.00,18.50,,
2,7/31/2012 0:00:00,"Little Bear",,"JH","F50","PB","Peromyscus maniculatus","3828","3828","Recap","Male","Non-scrotal",,,,18.00,,
3,8/1/2012 0:00:00,"Little Bear",,"SK","F54","Seed","Peromyscus maniculatus","3828","3828","Recap","Male","Non-scrotal",,,,17.00,,
4,8/2/2012 0:00:00,"Little Bear",,"JB","F52","Seed","Peromyscus maniculatus","3828","3828","Recap","Male","Non-scrotal",,,,17.50,,
5,8/3/2012 0:00:00,"Little Bear",,"JB","F56","Seed","Peromyscus maniculatus","3828","3828","Recap","Male","Non-scrotal",,,,18.50,,
6,7/30/2012 0:00:00,"Little Bear",,"SK","F69","Seed","Peromyscus maniculatus","3829","3829","Ear tag","Female","Reprod.",70.00,19.00,17.00,20.00,,
7,7/31/2012 0:00:00,"Little Bear",,"JB","F72","PB","Peromyscus maniculatus","3829","3829","Recap","Female","Reprod.",,,,21.00,,
8,8/1/2012 0:00:00,"Little Bear",,"SY","F72","PB","Peromyscus maniculatus","3829","3829","Recap","Female","Reprod.",,,,20.00,,
9,8/2/2012 0:00:00,"Little Bear",,"SY","F70","PB","Peromyscus maniculatus","3829","3829","Recap","Female","Reprod.",,,,18.00,,
10,8/3/2012 0:00:00,"Little Bear",,"SY","F69","PB","Peromyscus maniculatus","3829","3829","Recap","Female","Reprod.",,,,19.50,"Lactating - 3 nips",
11,7/30/2012 0:00:00,"Little Bear",,"JB","F81","Seed","Peromyscus maniculatus","3830","3830","Ear tag","Female","Reprod.",66.00,20.00,18.00,18.00,"Black-pigmented skin at vagina",
