"ID","Date","Site .","Elevation","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes"
1,"8/10/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M43","221","recap","Male","Scrotal",16,"seed",,,,,
2,"8/12/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M43","221","recap","Male","Scrotal",16,"seed",,,,,
3,"8/13/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M43","221","recap","Male","Scrotal",14,"pb",,,,,
4,"8/9/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M43","221","ear tag","Male","Scrotal",14,"seed",,,,,
5,"8/10/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M46","222","recap","Male","Scrotal",17,"seed",,,,,
6,"8/11/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M46","222","recap","Male","Scrotal",14,"seed",,,,,
7,"8/12/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M37","222","recap","Male","Scrotal",15,"seed",,,,,
8,"8/13/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M38","222","recap","Male","Scrotal",15,"pb",,,,,
9,"8/9/2010 am","MRS","2700-2900","Meadow","Peromyscus maniculatus","M47","222","ear tag","Male","Scrotal",17,"pb",,,,,
10,"8/10/2010 am","MRS","2700-2900","Forest","Peromyscus maniculatus","F39","223","recap","Male","Non-scrotal",14,"seed",,,,,
11,"8/11/2010 am","MRS","2700-2900","Forest","Peromyscus maniculatus","F29","223","recap","Male","Non-scrotal",11,"seed",,,,,
12,"8/12/2010 am","MRS","2700-2900","Forest","Peromyscus maniculatus","F35","223","recap","Male","Non-scrotal",13,"pb",,,,,
13,"8/13/2010 am","MRS","2700-2900","Forest","Peromyscus maniculatus","F31","223","recap, collected","Male","Non-scrotal",12,"pb","dead, collected",,,,
14,"8/9/2010 am","MRS","2700-2900","Forest","Peromyscus maniculatus","F38","223","ear tag","Male","Non-scrotal",,"seed","here noted female reprod, but subsequent four captures was noted male NS",,,,
