"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24"
1,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F1","a","Released","Male","Non-scrotal",32.00,"Seed",,86.00,24.00,13.00,,,,,,,
2,"Mavreeso","2500-2600","JH, TS, AW, WW",7/19/2011 0:00:00,"Riparian","Tamias minimus","W2","b","Released","Male","Scrotal",33.00,"PB",,80.00,27.00,11.00,,,,,,,
3,"Mavreeso","2500-2600","JH, TS, AW, WW",7/19/2011 0:00:00,"Meadow","Tamias minimus","M12","c","Released","Male","Non-scrotal",34.00,"PB",,86.00,27.00,12.00,,,,,,,
4,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F51","d","Released","Male","Non-scrotal",35.00,"PB","Pale",98.00,28.00,11.00,,,,,,,
5,"Mavreeso","2500-2600","JH, TS, AW, WW",7/19/2011 0:00:00,"Riparian","Tamias minimus","W7","e","Released","Male","Non-scrotal",36.00,"PB",,87.00,26.00,11.00,,,,,,,
6,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F21","f","Collected","Male","Non-scrotal",38.00,"Seed","T. rufus?",102.00,27.00,13.00,"ID verified by skull measurements. Collected. Pale. T. rufus? No ear tag (Sarah tag #44)",,,,,,
7,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F85","g","Released","Male","Non-scrotal",38.00,"PB",,102.00,28.00,11.00,,,,,,,
8,"Mavreeso","2500-2600","JH, TS, AW, WW",7/19/2011 0:00:00,"Meadow","Tamias minimus","M11","h","Released","Male","Non-scrotal",38.50,"Seed","In torpor",83.00,29.00,13.00,,,,,,,
9,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F19","I","Collected","Male","Non-scrotal",40.00,"Seed","Dead in trap",89.00,29.50,13.00,"ID verified by skull measurements. Collected. Bloody. In torpor/nearly dead in trap with ants. Lost end of tail during measurements when dead. No ear tag (Sarah tag #43)",,,,,,
10,"Mavreeso","2500-2600","SK",7/19/2011 0:00:00,"Forest","Tamias minimus","F38","j","Released","Male","Non-scrotal",40.00,"Seed",,100.00,29.00,11.00,,,,,,,
