"ID","Date","Site .","Transect","Species","Trap No","Bait","Tag/ Clip","Fate","Sex","Reprod","Mass","Notes","tail","hindfoot","ear","SK notes"
1,6/18/2011 0:00:00,"McGraw Ranch","Meadow","Peromyscus maniculatus","M29","pb","338","recap","Male","S",23.00,,,,,
2,6/14/2011 0:00:00,"McGraw Ranch","Meadow","Peromyscus maniculatus","M12","pb","339","marked","Female","NR",14.00,,,,,
3,6/15/2011 0:00:00,"McGraw Ranch","Meadow","Peromyscus maniculatus","M18","pb","339","recap","Female","NR",15.00,,,,,
4,6/18/2011 0:00:00,"McGraw Ranch","Meadow","Peromyscus maniculatus","M26","seed","339","recap","Female","NR",13.00,"noted as 393, but large movement",,,,
5,6/15/2011 0:00:00,"McGraw Ranch","Riparian","Peromyscus maniculatus","W39","pb","379","marked","Female","R",20.00,,,,,
6,6/16/2011 0:00:00,"McGraw Ranch","Riparian","Peromyscus maniculatus","W39","seed","379","recap","Female","R",19.00,,,,,
7,6/17/2011 0:00:00,"McGraw Ranch","Riparian","Peromyscus maniculatus","W37","pb","379","recap","Female","R",19.50,,,,,
8,6/18/2011 0:00:00,"McGraw Ranch","Riparian","Peromyscus maniculatus","W37","seed","379","recap","Female","R",20.00,,,,,
9,6/15/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F40","pb","381","marked","Male","S",21.50,,,,,
10,6/16/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F37","pb","381","recap","Male","S",20.00,,,,,
11,6/17/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F41","pb","381","recap","Male","S",20.50,,,,,
12,6/18/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F43","pb","381","recap","Male","S",21.50,,,,,
13,6/15/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F35","pb","383","marked","Female","R",20.00,,,,,
14,6/16/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F38","pb","383","recap","Female","R",18.50,,,,,
15,6/15/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F30","pb","384","marked","Male","NS",14.00,,,,,
16,6/16/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F30","pb","384","recap","Male","NS",13.50,,,,,
17,6/17/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F28","pb","384","recap","Male","NS",13.00,,,,,
18,6/15/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F8","seed","388","marked","Female","R",20.00,,,,,
19,6/16/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F9","seed","388","recap","Female","R",19.00,,,,,
20,6/17/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F9","seed","388","recap","Female","R",17.50,,,,,
21,6/18/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F8","seed","388","recap","Female","R",20.00,,,,,
22,6/15/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F1","pb","389","marked","Male","S",20.00,,,,,
23,6/17/2011 0:00:00,"McGraw Ranch","Forest","Peromyscus maniculatus","F31","pb","389","recap","Male","S",20.50,"large movement, but no obvious other individual fits data",,,,
