"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25"
1,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Meadow","Microtus longicaudus","M7","a","Collected","Male","Non-scrotal",13.00,"PB","Dead in trap",29.00,19.00,12.00,"Most skull & body characteristics support identification as M. longicaudus but two supports M. montanus (midridge); Original ID M. montanus. Dead in trap. Ear not measured when processed. No ear tag (Sarah tag #30)",,,,,,,
2,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Meadow","Microtus montanus","M1","1000","Toe clip","Female","Reprod.",26.50,"PB",,30.00,18.00,13.00,,,,,,,,
3,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Meadow","Microtus montanus","M3","2000","Toe clip","Male","Non-scrotal",10.00,"PB",,26.00,18.00,9.00,,,,,,,,
4,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Meadow","Microtus montanus","M6","2000","Collected","Male","Non-scrotal",10.00,"PB","Multiple capture. Dead in trap. Partly cannibalized by other vole in trap.",30.00,16.00,11.00,"Skull charactersitics verify ID as M. montanus. Dead in trap. Partly cannibalized. Ear tag #2000 (Sarah tag #32)",,,,,,,
5,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Meadow","Microtus montanus","M6","b","Collected","Male","Non-scrotal",11.00,"PB","Dead in trap",31.00,16.00,9.00,"ID based on tail, most skull & teeth characteristics. Dead in trap. No ear tag (Sarah tag #29)",,,,,,,
6,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Meadow","Microtus montanus","M6","c","Released","Male","Non-scrotal",13.50,"PB","Multiple capture",27.00,17.00,9.00,,,,,,,,
7,"McPhee","2100-2200","JH, JH",6/11/2011 0:00:00,"Meadow","Microtus montanus","M4","d","Collected","Female","Reprod.",30.00,"Seed","6 nips found, possible 8. Dead in trap.",40.00,17.00,9.00,"ID verified with external, skull & dentition characteristics. Dead in trap. No ear tag (Sarah tag #27)",,,,,,,
8,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Forest","Peromyscus maniculatus","F49","249","Ear tag","Male","Non-scrotal",19.00,"Seed",,61.00,18.00,15.00,,,,,,,,
9,"McPhee","2100-2200","JH, JH",6/10/2011 0:00:00,"Forest","Peromyscus maniculatus","F22","277","Ear tag","Female","Non-reprod.",13.00,"PB",,57.00,19.00,14.00,,,,,,,,
10,"McPhee","2100-2200","SK, AW",6/11/2011 0:00:00,"Forest","Peromyscus maniculatus","F22","277","Recap","Female","Non-reprod.",15.00,"PB",,,,,,,,,,,,
11,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Forest","Peromyscus maniculatus","F19","277","Recap","Female","Non-reprod.",15.50,"Seed",,,,,,,,,,,,
12,"McPhee","2100-2200","JH, JH",6/10/2011 0:00:00,"Forest","Peromyscus maniculatus","F36","279","Ear tag","Male","Non-scrotal",16.50,"Seed",,63.00,19.00,14.00,,,,,,,,
13,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Forest","Peromyscus maniculatus","F36","279","Recap","Male","Non-scrotal",16.50,"PB",,,,,,,,,,,,
14,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Forest","Peromyscus maniculatus","F36","279","Recap","Male","Non-scrotal",17.50,"Seed",,,,,,,,,,,,
15,"McPhee","2100-2200","JH, JH",6/10/2011 0:00:00,"Forest","Peromyscus maniculatus","F31","282","Ear tag","Male","Non-scrotal",21.50,"Seed",,58.00,20.00,16.00,,,,,,,,
16,"McPhee","2100-2200","SK, AW",6/11/2011 0:00:00,"Forest","Peromyscus maniculatus","F31","282","Recap","Male","Non-scrotal",22.00,"Seed",,,,,,,,,,,,
17,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Forest","Peromyscus maniculatus","F31","282","Recap","Male","Non-scrotal",20.00,"Seed","Could be misread tag since original 289 in meadow; 282 likely based on trapping history",,,,,,,,,,,
18,"McPhee","2100-2200","SK, AW",6/11/2011 0:00:00,"Meadow","Peromyscus maniculatus","M22","284","Recap","Male","Scrotal",18.00,"PB",,,,,"Must have been ear tagged on this capture.",,,,,,,
19,"McPhee","2100-2200","JH, JH",6/12/2011 0:00:00,"Meadow","Peromyscus maniculatus","M22","284","Recap","Male","Scrotal",18.50,"PB",,,,,,,,,,,,
20,"McPhee","2100-2200","JH, JH",6/13/2011 0:00:00,"Meadow","Peromyscus maniculatus","M22","284","Recap","Male","Scrotal",19.00,"PB",,,,,,,,,,,,
