"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","ID notes"
1,7/17/2012 0:00:00,"Navajo","Forest","Microtus longicaudus","F75","--","a","Dead, Collected","Female","Non-reprod.",28.00,"Seed",,,,,
2,7/21/2012 0:00:00,"Navajo","Riparian","Microtus longicaudus","W28","--","b","Dead, Collected","Male","Scrotal",36.50,"Seed",,,,,
3,7/21/2012 0:00:00,"Navajo","Forest","Microtus longicaudus","F75","new","ee","Collected","Female","Reproductive",29.00,"Seed",,,,,
4,7/19/2012 0:00:00,"Navajo","Meadow","Microtus longicaudus?","M19","0010","0010","Marked","Male","Scrotal",32.00,"Seed",,43.00,21.00,15.00,
5,7/20/2012 0:00:00,"Navajo","Meadow","Microtus longicaudus?","M14","0010","0010","Recap","Male","Scrotal",32.00,"PB",,,,,
6,7/19/2012 0:00:00,"Navajo","Meadow","Microtus longicaudus?","M14","0200","0200","Marked","Male","Scrotal",44.00,"PB",,44.00,18.00,14.00,
7,7/20/2012 0:00:00,"Navajo","Meadow","Microtus longicaudus?","M17","0200","0200","Recap","Male","Scrotal",47.00,"PB",,,,,
8,7/18/2012 0:00:00,"Navajo","Meadow","Microtus montanus?","M16","4000","4000","Marked","Female","Non-reprod.",11.50,"Seed","Same as collected at M14",,,,
9,7/18/2012 0:00:00,"Navajo","Meadow","Microtus montanus?","M14","--","c","Collected","Female","Non-reprod.",24.00,"PB",,,,,
10,7/19/2012 0:00:00,"Navajo","Meadow","Microtus montanus?","M15","--","d","Collected","Male","Scrotal",13.00,"PB",,,,,
11,7/20/2012 0:00:00,"Navajo","Riparian","Microtus montanus?","W3","0040","0040","Marked","Female","Non-reprod.",17.00,"Seed",,33.00,17.00,13.00,
12,7/19/2012 0:00:00,"Navajo","Meadow","Microtus montanus?","M15","0300","0300","Marked","Male","Non-scrotal",14.00,"PB",,,,,
13,7/19/2012 0:00:00,"Navajo","Meadow","Microtus montanus?","M16","0400","0400","Marked","Male","Non-scrotal",13.00,"Seed",,24.00,17.00,11.00,
14,7/21/2012 0:00:00,"Navajo","Meadow","Microtus sp.","M16","0200","0200","Recap, Collected","Male","Scrotal",42.50,"PB",,,,,
15,7/21/2012 0:00:00,"Navajo","Meadow","Microtus sp.","M7","new","e","Collected","Female","Non-reprod.",37.00,"Seed",,,,,
16,7/17/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F21","1000","1000","Marked","Male","Scrotal",15.00,"Seed",,,,,
17,7/20/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F6","1000","1000","Recap","Male","Scrotal",15.00,"PB",,,,,
18,7/21/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F15","1000","1000","Recap","Male","Scrotal",15.00,"PB",,,,,
19,7/17/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F63","2000","2000","Marked","Male","Scrotal",22.00,"Seed",,,,,
20,7/20/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F63","2000","2000","Recap","Male","Scrotal",22.00,"PB",,,,,
21,7/21/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F10","2000","2000","Recap","Male","Scrotal",23.00,"PB","Appears to be too far a movement, but double checked ID in field and was correct",,,,
22,7/17/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F65","3000","3000","Marked","Female","Reproductive",20.00,"PB",,,,,
23,7/20/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F62","3000","3000","Recap","Female","Reproductive",25.50,"PB",,,,,
24,7/19/2012 0:00:00,"Navajo","Riparian","Myodes gapperi","W22","0020","0020","Marked","Female","Reproductive",12.00,"Seed",,,,,
25,7/19/2012 0:00:00,"Navajo","Riparian","Myodes gapperi","W32","0030","0030","Marked","Female","Reproductive",21.00,"PB",,,,,
26,7/18/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F65","0100","0100","Marked","Male","Scrotal",20.00,"PB",,,,,
27,7/19/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F65","0100","0100","Recap","Male","Scrotal",22.00,"PB",,,,,
28,7/20/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F63","0100","0100","Recap","Male","Scrotal",23.00,"Seed",,,,,
29,7/21/2012 0:00:00,"Navajo","Forest","Myodes gapperi","F66","new","f","Marked","Female","Non-reprod.",18.00,"PB",,,,,
30,7/17/2012 0:00:00,"Navajo","Forest","Peromyscus maniculatus","F60","301","301","Marked","Male","Scrotal",19.00,"PB",,,,,
31,7/18/2012 0:00:00,"Navajo","Forest","Peromyscus maniculatus","F64","301","301","Recap","Male","Scrotal",18.00,"Seed",,,,,
32,7/19/2012 0:00:00,"Navajo","Forest","Peromyscus maniculatus","F61","301","301","Recap","Male","Scrotal",18.50,"PB",,,,,
33,7/17/2012 0:00:00,"Navajo","Forest","Peromyscus maniculatus","F28","302","302","Marked","Male","Scrotal",20.00,"PB","Lots of movement, but double checked in field",,,,
34,7/18/2012 0:00:00,"Navajo","Riparian","Peromyscus maniculatus","W30","302","302","Recap","Male","Scrotal",18.50,"Seed","Lots of movement, but double checked in field",,,,
35,7/19/2012 0:00:00,"Navajo","Forest","Peromyscus maniculatus","F60","302","302","Recap","Male","Scrotal",18.00,"PB","Lots of movement, but double checked in field",,,,
36,7/20/2012 0:00:00,"Navajo","Riparian","Peromyscus maniculatus","W40","302","302","Recap","Male","Scrotal",19.00,"Seed","Lots of movement, but double checked in field",,,,
37,7/21/2012 0:00:00,"Navajo","Riparian","Peromyscus maniculatus","W27","302","302","Recap","Male","Scrotal",19.00,"Seed","Lots of movement, but double checked in field",,,,
38,7/17/2012 0:00:00,"Navajo","Forest","Peromyscus maniculatus","F20","303","303","Marked","Female","Non-reprod.",15.00,"Seed",,,,,
