"ID","Date","Site .","Transect","Elevation","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","SK notes","tail","hindfoot","ear","SK Toe Clip Info"
1,"7/26/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F15","2000","toe clip","Male","Scrotal",19,"pb",,,44.00,16.00,16.00,"1-2"
2,"7/27/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F12","2000","dead; collected","Male","Scrotal",,"seed","recap",,,,,"1-2"
3,"7/27/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F36","0200","toe clip","Female","Non-reprod.",14,"pb",,,,,,"2-2"
4,"7/27/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F15","0300","toe clip","Male","X",20,"pb",,,,,,"2-3"
5,"7/29/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F16","0300","recap","Male","X",22,"seed",,,,,,"2-3"
6,"7/26/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F38","0400","toe clip","Male","X",22,"pb",,,39.00,17.00,15.00,"2-4"
7,"7/27/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F32","0400","recap","Male","X",22,"pb",,,,,,"2-4"
8,"7/28/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F38","0400","recap","Male","X",20,"pb",,,,,,"2-4"
9,"7/29/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F11","0400","recap","Male","X",21,"seed",,,,,,"2-4"
10,"7/27/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F48","0010","toe clip","Female","Reprod.",28,"seed",,,,,,"3-1"
11,"7/28/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F17","0020","toe clip","Female","Non-reprod.",12,"seed",,,,,,"3-2"
12,"7/28/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F44","0030","toe clip","Female","Reprod.",33,"pb",,,,,,"3-3"
13,"7/29/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F51","0030","recap","Female","Reprod.",34,"seed",,,,,,"3-3"
14,"7/28/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F75","0001","toe clip","Male","Non-scrot.",11,"pb",,,,,,"4-1"
15,"7/29/2010 am","Saddle","Forest",,"Cletherionomys gapperi","F18","a","new; no mark","Female","Non-reprod.",12,"pb",,,,,,
16,"7/26/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M6","104","ear tag","Male","X",21,"seed",,,,,,
17,"7/27/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M14","104","recap","Male","X",21,"seed",,,,,,
18,"7/28/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M15","104","recap","Male","X",19,"seed",,,,,,
19,"7/29/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M6","104","recap","Male","X",23,"pb",,,,,,
20,"7/28/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F32","106","ear tag","Male","Non-scrot.",18,"pb",,,,,,
21,"7/27/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M5","124","ear tag","Male","Scrotal",15,"pb",,,,,,
22,"7/28/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M5","124","recap","Male","Scrotal",16,"seed",,,,,,
23,"7/29/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M15","124","recap","Male","Scrotal",18,"seed",,,,,,
24,"7/27/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M75","134","ear tag","Male","Non-scrot.",16,"seed",,,,,,
25,"7/28/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M75","134","recap","Male","Non-scrot.",18,"seed",,,,,,
26,"7/25/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M38","143","ear tag","Male","Non-scrot.",17,"pb",,,,,,
27,"7/26/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M37","143","recap","Male","Non-scrot.",18,"pb",,,,,,
28,"7/27/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M38","143","recap","Male","Non-scrot.",18,"seed",,,,,,
29,"7/28/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M41","143","recap","Male","Non-scrot.",17,"pb",,,,,,
30,"7/29/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M52","143","recap","Male","Non-scrot.",18,"seed",,,,,,
31,"7/27/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F67","150","ear tag","Male","Non-scrot.",22,"seed",,,,,,
32,"7/29/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F62","150","recap","Male","Non-scrot.",21,"seed",,,,,,
33,"7/25/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F5","154a","ear tag","Male","Non-scrot.",18,"pb",,"Mis-read ear tag? Two animals with same number?",,,,
34,"7/27/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F13","154","ear tag","Male","Scrotal",18,"seed",,,,,,
35,"7/28/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F11","154","recap","Male","Scrotal",17,"seed",,,,,,
36,"7/29/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F8","154","recap","Male","Scrotal",19,"pb",,,,,,
37,"7/28/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M12","167","ear tag","Female","Non-reprod.",13,"seed",,,,,,
38,"7/29/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M8","167","recap","Female","Non-reprod.",15,"seed",,,,,,
39,"7/25/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F45","173","ear tag","Male","Scrotal",20,"seed",,,,,,
40,"7/26/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F13","173","recap","Male","Scrotal",18,"seed",,,,,,
41,"7/27/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F30","173","recap","Male","Scrotal",16,"seed",,,,,,
42,"7/28/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F29","173","recap","Male","Scrotal",20,"pb",,,,,,
43,"7/29/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F40","173","recap","Male","Scrotal",22,"pb",,,,,,
44,"7/27/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M4","193","ear tag","Male","Scrotal",19,"pb",,,,,,
45,"7/28/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M5","193","recap","Male","Scrotal",16,"pb",,,,,,
46,"7/29/2010 am","Saddle","Meadow",,"Peromyscus maniculatus","M1","193","recap","Male","Scrotal",20,"seed",,,,,,
47,"7/29/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F67","b","new; no mark","Female","Reprod.",26,"seed",,,,,,
