"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes"
1,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T133","357","Recap","Male","S",18.00,"PB",,,,,
2,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T93","357","Recap","Male","S",19.50,"PB",,,,,
3,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T83","357","Recap","Male","S",18.50,"SEED",,,,,
4,7/27/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T76","358","Marked","Female","R",20.00,"SEED",,,,,
5,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T75","358","Recap","Female","R",19.00,"SEED",,,,,
6,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T83","358","Recap","Female","R",19.00,"SEED",,,,,
7,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T83","358","Recap","Female","R",18.00,"PB",,,,,
8,7/27/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T117","359","Marked","Female","R",31.00,"SEED",,,,,
9,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T119","359","Recap","Female","R",27.00,"PB",,,,,
10,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T120","359","Recap","Female","R",28.00,"SEED",,,,,
11,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T123","359","Recap","Female","R",30.00,"SEED",,,,,
12,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T111","359","Recap","Female","R",32.00,"SEED",,,,,
13,7/27/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T119","360","Marked","Male","NS",18.00,"SEED",,,,,
14,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T133","360","Recap","Male","NS",16.00,"SEED",,,,,
15,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T136","360","Recap","Male","NS",13.50,"PB",,,,,
16,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T136","360","Recap","Male","NS",15.00,"PB",,,,,
17,7/27/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T121","361","Marked","Male","S",25.00,"SEED",,,,,
18,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T126","361","Recap","Male","S",23.00,"SEED",,,,,
19,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T120","361","Recap","Male","S",21.50,"PB",,,,,
20,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T94","361","Recap","Male","S",21.00,"SEED",,,,,
21,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T141","361","Recap","Male","S",23.00,"SEED",,,,,
22,7/27/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T135","362","Marked","Male","NS",16.00,"SEED",,,,,
23,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T129","362","Recap","Male","NS",15.00,"SEED",,,,,
24,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T133","362","Recap","Male","NS",14.50,"PB",,,,,
25,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T132","362","Recap","Male","NS",13.00,"PB",,,,,
26,7/27/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T138","363","Marked","Female","NR",15.00,"SEED",,,,,
27,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T139","363","Recap","Female","NR",14.00,"SEED",,,,,
28,7/27/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T146","364","Marked","Female","R",16.00,"SEED",,,,,
29,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T146","364","Recap","Female","R",15.00,"SEED",,,,,
30,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T144","364","Recap","Female","R",14.50,"PB",,,,,
31,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T144","364","Recap","Female","R",13.25,"PB","Dead; collected",64.00,17.50,16.00,
32,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T64","365","Marked","Male","S",22.00,"SEED",,,,,
33,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T64","365","Recap","Male","S",20.00,"SEED",,,,,
34,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T58","365","Recap","Male","S",20.00,"SEED",,,,,
35,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T94","366","Marked","Male","S",22.00,"SEED",,,,,
36,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T71","366","Recap","Male","S",22.00,"SEED",,,,,
37,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T68","366","Recap","Male","S",20.00,"SEED",,,,,
38,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T118","367","Marked","Male","NS",12.00,"SEED",,,,,
39,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T121","367","Recap","Male","NS",11.50,"PB",,,,,
40,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T118","367","Recap","Male","NS",12.00,"SEED",,,,,
41,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T123","368","Marked","Male","NS",11.00,"SEED",,,,,
42,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T126","368","Recap","Male","NS",11.50,"SEED",,,,,
43,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T120","368","Recap","Male","NS",10.00,"SEED",,,,,
44,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T125","369","Marked","Female","R",27.00,"PB",,,,,
45,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T125","369","Recap","Female","R",22.00,"PB",,,,,
46,7/31/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T120","369","Recap","Female","R",23.00,"PB",,,,,
47,7/28/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T136","370","Marked","Female","NR",16.00,"PB",,,,,
48,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T137","370","Recap","Female","NR",14.50,"SEED",,,,,
49,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T136","370","Recap","Female","NR",15.50,"SEED",,,,,
50,7/29/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T13","371","Marked","Male","NS",10.00,"SEED",,,,,
51,7/30/2011 0:00:00,"Sundance","Tundra","Peromyscus maniculatus","T92","374","Marked","Female","R",26.00,"SEED",,,,,
