"ID","Date","Site .","Transect","Elevation","Species",". only","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Trap No","tail","hindfoot","ear","Notes","SK notes"
1,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Microtus longicaudus",,"--","a","new; collected","Male","Scrotal",38.00,"seed","R34",65.00,19.00,14.00,"longicaudus or pennsylvanicus","ID verified with external, skull & dentition characteristics, originally noted as longicaudus or pennsylvanicus; no ear tag"
2,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Microtus ochrogaster",,"1-2","1-2","toe clipped","Female","Reprod.",48.00,"seed","R25",39.00,18.00,10.00,,
3,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",2.00,"104","104","ear tag","Female","Non-reprod.",72.00,"pb","S2",,,,"noted as ns male but following 3 captures were females",
4,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",3.00,"104","104","recap","Female","Non-reprod.",81.00,"seed","S3",,,,,
5,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",2.00,"104","104","recap","Female","Non-reprod.",75.00,"pb","S2",,,,,
6,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",1.00,"104","104","recap","Female","Non-reprod.",71.00,"pb","S1",,,,,
7,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",5.00,"107","107","ear tag","Female","Reprod.",124.50,"pb","S5",,,,,
8,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",6.00,"107","107","recap","Female","Reprod.",134.00,"pb","S6",,,,,
9,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",1.00,"107","107","recap","Female","Reprod.",128.00,"seed","S1",,,,,
10,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",6.00,"107","107","recap","Female","Reprod.",124.00,"pb","S6",,,,,
11,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",6.00,"109","109","ear tag","Male","Non-scrot.",72.00,"pb","S6",,,,"Bot fly near base of tail",
12,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",6.00,"109","109","recap","Male","Non-scrot.",84.00,"pb","S6",,,,,
13,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",16.00,"112","112","ear tag","Male","Non-scrot.",127.00,"pb","S16",,,,,
14,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",16.00,"112","112","recap","Male","Non-scrot.",126.00,"pb","S16",,,,"Missing end of tail",
15,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",14.00,"112","112","recap","Male","Non-scrot.",128.00,"seed","S14",,,,"Missing part of tail",
16,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",12.00,"112","112","recap","Male","Non-scrot.",121.00,"pb","S12",,,,"Missing part of tail",
17,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",2.00,"113","113","ear tag","Male","Scrotal",223.00,"pb","S2",,,,,
18,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",3.00,"113","113","recap","Male","Scrotal",213.00,"pb","S3",,,,"noted as 112 but given location, wgt, sex probably 113",
19,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",1.00,"116","116","ear tag","Female","Reprod.",170.00,"pb","S1",,,,,
20,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",5.00,"116","116","recap","Female","Reprod.",186.00,"pb","S5",,,,"Bald spot on head",
21,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",7.00,"116","116","recap","Female","Reprod.",169.00,"pb","S7",,,,"Missing end of tail; bald patch on head",
22,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",33.00,"120","120","ear tag","Male","Scrotal",204.00,"pb","S33",,,,,
23,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",29.00,"120","120","recap","Male","Scrotal",185.00,"pb","S29",,,,,
24,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",33.00,"120","120","recap","Male","Scrotal",200.00,"pb","S33",,,,,
25,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",34.00,"121","121","ear tag","Female","Reprod.",90.00,"seed","S34",,,,,
26,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",33.00,"121","121","recap","Female","Reprod.",80.00,"seed","S33",,,,,
27,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",34.00,"121","121","recap","Female","Reprod.",94.00,"pb","S34",,,,,"Originally called NR, but R in all other captures"
28,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",33.00,"121","121","recap","Female","Reprod.",96.00,"pb","S33",,,,,
29,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",34.00,"121","121","recap","Female","Reprod.",92.00,"seed","S34",,,,,
30,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",8.00,"127","127","ear tag","Male","Non-scrot.",134.00,"pb","S8",,,,,
31,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",8.00,"127","127","recap","Male","Non-scrot.",128.00,"pb","S8",,,,,
32,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",7.00,"127","127","recap","Male","Non-scrot.",133.00,"pb","S7",,,,"Missing part of tail",
33,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",41.00,"128","128","ear tag","Female","Reprod.",181.00,"pb","R41",,,,,
34,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",40.00,"128","128","recap","Female","Reprod.",164.00,"pb","R40",,,,,
35,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",1.00,"131","131","ear tag","Male","Scrotal",128.00,"seed","S1",,,,,
36,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",2.00,"131","131","recap","Male","Scrotal",126.00,"seed","S2",,,,,
37,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",24.00,"138","138","ear tag","Female","Reprod.",169.00,"seed","S24",,,,,
38,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",24.00,"138","138","recap","Female","Reprod.",168.00,"seed","S24",,,,,
39,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",20.00,"138","138","recap","Female","Reprod.",173.00,"seed","S20",,,,,
40,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",21.00,"138","138","recap","Female","Reprod.",176.00,"pb","S21",,,,,
41,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",15.00,"139","139","ear tag","Male","Non-scrot.",126.00,"pb","R15",,,,,
42,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",35.00,"140","140","ear tag","Female","Reprod.",138.00,"pb","S35",,,,,
43,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",28.00,"140","140","recap","Female","Reprod.",144.00,"pb","S28",,,,,
44,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",47.00,"141","141","ear tag","Male","Non-scrot.",,"pb","S47",,,,,
45,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",50.00,"141","141","recap","Male","Non-scrot.",126.00,"pb","S50",,,,"noted as 197 recap, but doesn’t exist, probably 141 based on sex and wgt",
46,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",47.00,"141","141","recap","Male","Non-scrot.",127.00,"pb","S47",,,,,"Noted as S, but other captures NS"
47,"7/17/2010 am","SylvanDale","North slope",1700.00,"Neotoma mexicana",43.00,"143","143","ear tag","Male","Scrotal",132.00,"seed","N43",,,,,
48,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",29.00,"144","144","ear tag","Male","Non-scrot.",93.00,"pb","S29",,,,,
49,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",26.00,"144","144","recap","Male","Non-scrot.",95.00,"pb","S26",,,,,
50,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",26.00,"144","144","recap","Male","Non-scrot.",75.00,"seed","S26",,,,,
51,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",26.00,"144","144","recap","Male","Non-scrot.",104.00,"seed","S26",,,,,
52,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",23.00,"151","151","ear tag","Female","Reprod.",21.50,"seed","S23",,,,,
53,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",35.00,"158","158","ear tag","Female","Reprod.",192.00,"pb","S35",,,,"Wound on head",
54,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",36.00,"158","158","recap","Female","Reprod.",204.00,"seed","S36",,,,,
55,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",28.00,"158","158","recap","Female","Reprod.",195.00,"seed","S28",,,,,
56,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",5.00,"159","159","ear tag","Female","Reprod.",170.00,"pb","R5",,,,"maybe lactating",
57,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",4.00,"159","159","recap","Female","Reprod.",190.00,"pb","R4",,,,,
58,"7/16/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",14.00,"164","164","ear tag","Female","Reprod.",175.00,"seed","R14",,,,,
59,"7/17/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",15.00,"164","164","recap","Female","Reprod.",171.00,"pb","R15",,,,,
60,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",13.00,"164","164","recap","Female","Reprod.",160.00,"seed","R13",,,,,
61,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",10.00,"164","164","dead; collected","Female","Reprod.",150.00,"seed","R10",,,,"recap. Was dying when removed from trap, left to recover but died.","ID verified with skull and dentition; recap. Was dying when removed from trap, left to recover but died. Ear tag #164"
62,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",18.00,"172","172","ear tag","Male","Non-scrot.",80.00,"seed","R18",,,,,
63,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",25.00,"174","174","ear tag","Male","Scrotal",174.00,"pb","S25",,,,,
64,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",24.00,"--","b","new; no mark","Female","Non-reprod.",66.00,"pb","S24",,,,,
65,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",1.00,"--","c","new; no mark","Male","Non-scrot.",120.00,"seed","S1",,,,,
66,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",5.00,"--","d","new; no mark","Male","Scrotal",191.00,"pb","S5",,,,,
67,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",8.00,"--","e","new; no mark","Male","Scrotal",197.00,"pb","S8",,,,,
68,"7/17/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",18.00,"142a","142a","ear tag","Male","Non-scrot.",90.00,"pb","R18",,,,,
69,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",17.00,"142a","142a","recap","Male","Non-scrot.",83.00,"pb","R17",,,,"noted as 114 recap, but doesn’t exist, probably 142a based on location, sex and wgt",
70,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",18.00,"142a","142a","recap","Male","Non-scrot.",84.00,"seed","R18",,,,,
71,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",22.00,"142b","142b","ear tag","X","X",120.00,"pb","R22",,,,"maybe a recap, but much heavier; sex unknowable",
72,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",22.00,"142b","142b","recap","X","X",,"seed","R22",,,,"noted as 162 recap, but doesn’t exist, probably 142b based on location and wgt; sex unknowable",
73,"7/17/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",9.00,"146a","146a","ear tag","Female","Reprod.",123.00,"seed","S9",,,,,
74,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",10.00,"146a","146a","recap","Female","Reprod.",114.00,"pb","S10",,,,,
75,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",22.00,"146b","146b","ear tag","Male","Scrotal",183.00,"pb","R22",,,,,
76,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",30.00,"146b","146b","recap","Male","Scrotal",204.00,"pb","R30",,,,,
77,"7/16/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",36.00,"152a","152a","ear tag","Male","Non-scrot.",95.00,"pb","S36",,,,"also 153 on other ear",
78,"7/18/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",36.00,"152a","152a","recap","Male","Non-scrot.",106.00,"pb","S36",,,,,
79,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",34.00,"152a","152a","recap","Male","Non-scrot.",97.00,"seed","S34",,,,,
80,"7/20/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",28.00,"152a","152a","recap","Male","Non-scrot.",105.00,"pb","S28",,,,,
81,"7/19/2010 am","SylvanDale","South slope",1700.00,"Neotoma mexicana",20.00,"152b","152b","ear tag","Male","Scrotal",218.00,"pb","S20",,,,,
82,"7/17/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",31.00,"163/notched top right ear","163/notched top right ear","marked","Female","Reprod.",127.00,"pb","R31",,,,"natural mark; noted as NS male but other two captures Reproductive female",
83,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",31.00,"163/notched top right ear","163/notched top right ear","recap","Female","Reprod.",126.00,"pb","R31",,,,"Notch in right ear",
84,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Neotoma mexicana",31.00,"163/notched top right ear","163/notched top right ear","recap","Female","Reprod.",124.00,"pb","R31",,,,,
