"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear"
1,8/8/2012 0:00:00,"Tombstone","Forest","Lepus americanus","F61","--","a","Released","--","--",,"PB","juvenile",,,
2,8/9/2012 0:00:00,"Tombstone","Forest","Lepus americanus","F25","--","b","Released","?","?",,"PB","juvenile",,,
3,8/10/2012 0:00:00,"Tombstone","Forest","Lepus americanus","F53","--","c","Released","?","?",,"PB","juvenile",,,
4,8/9/2012 0:00:00,"Tombstone","Meadow","Myodes gapperi","M15","0010","0010","Marked","Female","Reproductive",20.00,"PB",,,,
5,8/10/2012 0:00:00,"Tombstone","Meadow","Myodes gapperi","M7","0010","0010","Recap","Female","Reproductive",18.50,"PB",,,,
6,8/10/2012 0:00:00,"Tombstone","Forest","Myodes gapperi","F10","0020","0020","Marked","Female","Non-reproductive",15.00,"PB",,,,
7,8/10/2012 0:00:00,"Tombstone","Forest","Myodes gapperi","F14","0030","0030","Marked","Female","Reproductive",27.50,"PB",,,,
8,8/10/2012 0:00:00,"Tombstone","Forest","Myodes gapperi","F19","0040","0040","Marked","Male","Scrotal",21.50,"Seed",,,,
9,8/11/2012 0:00:00,"Tombstone","Forest","Myodes gapperi","F99","--","d","New","Female","Reproductive",25.00,"PB",,,,
10,8/11/2012 0:00:00,"Tombstone","Forest","Myodes gapperi","F81","--","e","New","Female","Reproductive",25.00,"Seed",,,,
11,8/11/2012 0:00:00,"Tombstone","Forest","Myodes gapperi","F63","--","f","New","Female","Reproductive",21.00,"PB",,,,
12,8/11/2012 0:00:00,"Tombstone","Meadow","Myodes gapperi","M22","--","g","New","Female","Reproductive",18.50,"PB",,,,
13,8/11/2012 0:00:00,"Tombstone","Meadow","Myodes gapperi","M26","--","h","New","Female","Reproductive",26.00,"PB",,,,
14,8/11/2012 0:00:00,"Tombstone","Forest","Myodes gapperi","F10","--","i","New","Male","Scrotal",20.50,"PB",,,,
15,8/10/2012 0:00:00,"Tombstone","Forest","Peromyscus maniculatus","F88","337","337","Marked","Female","Reproductive",18.00,"PB",,,,
16,8/11/2012 0:00:00,"Tombstone","Meadow","Peromyscus maniculatus","M6","337","337","Recap","Female","Reproductive",16.50,"Seed",,,,
17,8/9/2012 0:00:00,"Tombstone","Forest","Peromyscus maniculatus","F106","341","341","Marked","Female","Non-reproductive",15.50,"Seed",,,,
18,8/10/2012 0:00:00,"Tombstone","Forest","Peromyscus maniculatus","F108","341","341","Recap","Female","Non-reproductive",14.00,"PB",,,,
19,8/11/2012 0:00:00,"Tombstone","Forest","Peromyscus maniculatus","F109","341","341","Recap","Female","Non-reproductive",15.00,"Seed",,,,
20,8/8/2012 0:00:00,"Tombstone","Meadow","Peromyscus maniculatus","M27","356","356","Marked","Female","Non-reproductive",17.00,"Seed",,,,
