"ID","Date","Site .","Elevation","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","SK notes","tail","hindfoot","ear"
1,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Marmota flaviventris",1.00,"a","no mark","Female","Non-reprod.",100,"pb","baby marmot, entered den right near trap < 2m away",,,,
2,"7/23/2010 am","Green Lakes Valley","3800-3900","single transect","Microtus or Phencomys?",115.00,"1000","toe clip","Male","Scrotal",11,"seed",,,27.00,17.00,15.00
3,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Microtus or Phencomys?",74.00,"b","collected",,,,"pb",,"Not in Collected DB",,,
4,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Microtus or Phencomys?",133.00,"c","collected",,,,"pb",,"Not in Collected DB",,,
5,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Ochotona princeps",38.00,"d","dead, collected",,,,"seed",,,,,
6,"7/23/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",40.00,"278","ear tag","Male","Scrotal",18,"seed",,,76.00,,
7,"7/24/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",46.00,"278","recap","Male","Scrotal",20,"pb",,,,,
8,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",47.00,"278","recap","Male","Scrotal",18,"pb",,,,,
9,"7/27/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",39.00,"278","recap","Male","Scrotal",18,"pb",,,,,
10,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",92.00,"296","recap","Male","non-scrotal",18,"seed",,"Original ID was 289. No record of being ear tagged. Must be 296",,,
11,"7/27/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",83.00,"296","recap","Male","non-scrotal",18,"pb",,,,,
12,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",78.00,"290","ear tag","Male","Scrotal",15,"pb",,,,,
13,"7/27/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",77.00,"290","recap","Male","Scrotal",14,"pb",,,,,
14,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",59.00,"291","ear tag","Male","non-scrotal",10,"seed",,,,,
15,"7/27/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",62.00,"291","recap","Male","non-scrotal",12,"pb",,,,,
16,"7/25/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",87.00,"292","ear tag","Male","Scrotal",17,"seed",,,,,
17,"7/26/2010 am","Green Lakes Valley","3800-3900","single transect","Peromyscus maniculatus",75.00,"292","recap","Male","Scrotal",18,"seed",,,,,
