"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27"
1,"Willow Creek","2800-2900","SK, AW, JH",7/10/2011 0:00:00,"Forest","Clethrionomys gapperi","F21","0001","Toe clip","Female","Non-reprod.",12.50,"Seed",,24.00,16.00,13.00,,,,,,,,,,
2,"Willow Creek","2800-2900","SK, WW, TS",7/11/2011 0:00:00,"Forest","Clethrionomys gapperi","F22","0001","Recap","Female","Non-reprod.",12.00,"PB",,,,,,,,,,,,,,
3,"Willow Creek","2800-2900","SK, AW, JH",7/10/2011 0:00:00,"Forest","Clethrionomys gapperi","F48","0010","Toe clip","Female","Reprod.",21.50,"PB",,39.00,16.00,14.00,,,,,,,,,,
4,"Willow Creek","2800-2900","SK, AW, JH",7/10/2011 0:00:00,"Forest","Clethrionomys gapperi","F51","0100","Toe clip","Male","Scrotal",22.00,"PB","Red back, black tip of tail",40.00,18.00,14.50,,,,,,,,,,
5,"Willow Creek","2800-2900","SK, WW, TS",7/11/2011 0:00:00,"Forest","Clethrionomys gapperi","F11","0200","Toe clip","Female","Reprod",14.50,"PB",,28.00,15.00,12.00,,,,,,,,,,
6,"Willow Creek","2800-2900","SK, AW",7/9/2011 0:00:00,"Forest","Clethrionomys gapperi","F51","1000","Toe clip","Female","Reprod.",23.00,"PB","Very red on back",49.00,18.00,15.00,,,,,,,,,,
7,"Willow Creek","2800-2900","SK, AW, JH",7/10/2011 0:00:00,"Forest","Clethrionomys gapperi","F7","2000","Toe clip","Male","Non-scrotal",10.00,"Seed",,25.00,16.00,12.00,,,,,,,,,,
8,"Willow Creek","2800-2900","SK, WW, TS",7/11/2011 0:00:00,"Forest","Clethrionomys gapperi","F32","3000a","Toe clip","Male","Scrotal",17.00,"PB",,36.00,16.00,12.00,,,,,,,,,,
9,"Willow Creek","2800-2900","SK, JH",7/12/2011 0:00:00,"Forest","Clethrionomys gapperi","F18","3000b","Recap","Female","Reprod.",24.00,"PB","New animal with natural mark?",,,,,,,,,,,,,
10,"Willow Creek","2800-2900","SK, WW, TS",7/11/2011 0:00:00,"Forest","Clethrionomys gapperi","F19","4000","Toe clip","Female","Reprod",26.00,"PB","4 nipples, pregnant or lactating",40.00,17.00,14.00,,,,,,,,,,
11,"Willow Creek","2800-2900","SK, JH",7/12/2011 0:00:00,"Forest","Clethrionomys gapperi","F7","a","Collected","Male","Non-scrotal",19.50,"Seed",,28.00,17.00,12.00,"ID verified with skull. Collected. No ear tag (Sarah tag #36)",,,,,,,,,
12,"Willow Creek","2800-2900","SK, AW, JH",7/10/2011 0:00:00,"Forest","Peromyscus maniculatus","F23","2159","Ear tag","Male","Non-scrotal",16.50,"Seed",,64.00,19.50,16.00,,,,,,,,,,
