"ID","Site .","Team","Elevation","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear"
6,"Yellowjacket","SK, AW","1400-1500",5/23/2011 0:00:00,"Rocky","Ammospermophilus leucurus","R1","960","ear tag","Male","Non-scrotal",118,"seed","White stripe along side (no black), no stripes on face, upper tail black, under tail white",75.00,"37","7"
7,"Yellowjacket","SK, AW, WW, KK","1400-1500",5/22/2011 0:00:00,"Riparian","Mus musculus","W24","94","ear tag","Male","Scrotal",,"seed","Escaped before all measurements could be taken",79.00,"--","--"
8,"Yellowjacket","KK, WW","1400-1500",5/24/2011 0:00:00,"Riparian","Mus musculus","W2","251","ear tag","Female","Reprod.",16,"seed",,74.00,"18","11"
9,"Yellowjacket","KK, WW","1400-1500",5/25/2011 0:00:00,"Riparian","Mus musculus","W3","251","collected","Female","Reprod.",14,"seed","Dead in trap",74.00,"15","13"
10,"Yellowjacket","KK, WW","1400-1500",5/24/2011 0:00:00,"Riparian","Mus musculus","W2","252","ear tag","Male","Non-scrotal",16,"pb",,77.00,"18","12"
11,"Yellowjacket","KK, WW","1400-1500",5/25/2011 0:00:00,"Riparian","Mus musculus","W2","252","recap","Male","Non-scrotal",14,"seed",,,,
12,"Yellowjacket","KK, WW","1400-1500",5/24/2011 0:00:00,"Riparian","Mus musculus","W5","254","ear tag","Male","Non-scrotal",,"pb","multiple capture, escaped before could be weighed",77.00,"17","12"
13,"Yellowjacket","KK, WW","1400-1500",5/25/2011 0:00:00,"Riparian","Mus musculus","W6","254","recap","Male","Non-scrotal",15,"pb",,,,
14,"Yellowjacket","KK, WW","1400-1500",5/24/2011 0:00:00,"Riparian","Mus musculus","W22","261","ear tag","Male","Scrotal",21,"seed",,74.00,"18","12"
15,"Yellowjacket","KK, WW","1400-1500",5/25/2011 0:00:00,"Riparian","Mus musculus","W21","261","recap","Male","Scrotal",21,"pb",,,,
16,"Yellowjacket","KK, WW","1400-1500",5/24/2011 0:00:00,"Riparian","Mus musculus","W23","263","ear tag","Female","Non-reprod.",9,"seed",,76.00,"18","12"
17,"Yellowjacket","KK, WW","1400-1500",5/25/2011 0:00:00,"Riparian","Mus musculus","W3","267","ear tag","Male","Scrotal",21,"pb",,72.00,"19","13"
18,"Yellowjacket","SK, AW","1400-1500",5/26/2011 0:00:00,"Riparian","Mus musculus","W1","267","recap","Male","Scrotal",19,"pb",,,,
