bin,Elevation,spp,Abbrev,Y,Ytot,binsAway,distAway,distAway_sc,interpPatchy,spAbund,delta,era,mtn,set
1,1400,1,Mafla,0,0,9,450,-0.3080867766370664,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
2,1450,1,Mafla,0,0,8,400,-0.36542927457328833,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
3,1500,1,Mafla,0,19,7,350,-0.42277177250951026,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
4,1550,1,Mafla,0,13,6,300,-0.48011427044573224,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
5,1600,1,Mafla,0,16,5,250,-0.5374567683819542,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
6,1650,1,Mafla,0,58,4,200,-0.5947992663181761,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
7,1700,1,Mafla,0,581,3,150,-0.6521417642543981,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
8,1750,1,Mafla,0,41,2,100,-0.70948426219062,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
9,1800,1,Mafla,0,72,1,50,-0.7668267601268419,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
10,1850,1,Mafla,1,39,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
11,1900,1,Mafla,0,207,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
12,1950,1,Mafla,0,46,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
13,2000,1,Mafla,0,2,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
14,2050,1,Mafla,0,45,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
15,2100,1,Mafla,0,234,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
16,2150,1,Mafla,0,248,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
17,2200,1,Mafla,0,303,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
18,2250,1,Mafla,0,2,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
19,2300,1,Mafla,0,7,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
20,2350,1,Mafla,0,22,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
21,2400,1,Mafla,0,171,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
22,2450,1,Mafla,0,18,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
23,2500,1,Mafla,0,2,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
24,2550,1,Mafla,0,9,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
25,2600,1,Mafla,0,56,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
26,2650,1,Mafla,0,44,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
27,2700,1,Mafla,0,188,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
28,2750,1,Mafla,0,77,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
29,2800,1,Mafla,0,169,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
30,2850,1,Mafla,0,60,0,0,-0.824169258063064,0.8421052631578947,35,0.2366614650395876,C,FR,FR_C
