spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1950,3400,2050,3300,2050,3350,1,50,SJ,all,1,C
2,2200,3450,2350,3400,2350,3400,1,50,SJ,all,1,C
3,2550,2550,NA,NA,NA,NA,1,50,SJ,all,1,C
4,1500,2650,1500,2600,1500,2650,1,50,SJ,all,1,C
5,1500,2800,1500,2800,1500,2850,1,50,SJ,all,1,C
6,1500,2750,1500,2650,1500,2700,1,50,SJ,all,1,C
7,2150,3550,2800,3550,2800,3550,1,50,SJ,all,1,C
8,1500,2750,1500,2650,1500,2700,1,50,SJ,all,1,C
9,1900,3500,2000,3450,1950,3450,1,50,SJ,all,1,C
10,1500,2700,1750,2550,1750,2550,1,50,SJ,all,1,C
11,2050,3000,2100,2900,2050,2950,1,50,SJ,all,1,C
12,1500,2750,1500,2600,1500,2650,1,50,SJ,all,1,C
13,1500,2550,1500,2550,1500,2550,1,50,SJ,all,1,C
14,1900,2800,2000,2650,1950,2700,1,50,SJ,all,1,C
15,1800,2750,2150,2650,2100,2700,1,50,SJ,all,1,C
16,2550,3600,2800,3550,2750,3600,1,50,SJ,all,1,C
17,1800,2700,2000,2650,1950,2700,1,50,SJ,all,1,C
18,1500,3500,1500,3500,1500,3500,1,50,SJ,all,1,C
19,1500,3200,1500,3100,1500,3150,1,50,SJ,all,1,C
20,1550,2800,1750,2600,1700,2650,1,50,SJ,all,1,C
21,2000,3450,2150,3450,2150,3450,1,50,SJ,all,1,C
22,1850,2800,1850,2800,1850,2850,1,50,SJ,all,1,C
23,1500,2700,1500,2550,1500,2600,1,50,SJ,all,1,C
24,1700,2800,1750,2600,1700,2650,1,50,SJ,all,1,C
25,2450,3600,2450,3600,2450,3600,1,50,SJ,all,1,C
26,1550,3350,1750,3350,1700,3350,1,50,SJ,all,1,C
27,2200,3500,2250,3500,2250,3500,1,50,SJ,all,1,C
28,1500,2400,1500,2300,1500,2350,1,50,SJ,all,1,C
29,1750,2900,1750,2850,1700,2850,1,50,SJ,all,1,C
30,1900,3200,2000,3100,1950,3150,1,50,SJ,all,1,C
1,1950,3400,2050,3400,2050,3400,2,50,SJ,all,1,C
2,2200,3450,2350,3300,2350,3300,2,50,SJ,all,1,C
3,2550,2550,NA,NA,NA,NA,2,50,SJ,all,1,C
4,1500,2650,1500,2600,1500,2650,2,50,SJ,all,1,C
5,1500,2800,1500,2650,1500,2700,2,50,SJ,all,1,C
6,1500,2750,1500,2650,1500,2700,2,50,SJ,all,1,C
7,2150,3550,2500,3550,2500,3550,2,50,SJ,all,1,C
8,1500,2750,1500,2650,1500,2700,2,50,SJ,all,1,C
9,1900,3500,2100,3450,2100,3450,2,50,SJ,all,1,C
10,1500,2700,1750,2550,1750,2550,2,50,SJ,all,1,C
11,2050,3000,2100,2900,2050,2950,2,50,SJ,all,1,C
12,1500,2750,1500,2650,1500,2700,2,50,SJ,all,1,C
13,1500,2550,1500,2550,1500,2550,2,50,SJ,all,1,C
14,1900,2800,2000,2650,1950,2700,2,50,SJ,all,1,C
15,1800,2750,2050,2650,2000,2700,2,50,SJ,all,1,C
16,2550,3600,2800,3550,2750,3600,2,50,SJ,all,1,C
17,1800,2700,1850,2650,1800,2700,2,50,SJ,all,1,C
18,1500,3500,1500,3500,1500,3500,2,50,SJ,all,1,C
19,1500,3200,1500,3100,1500,3150,2,50,SJ,all,1,C
20,1550,2800,1750,2650,1700,2700,2,50,SJ,all,1,C
21,2000,3450,2250,3450,2250,3450,2,50,SJ,all,1,C
22,1850,2800,1850,2800,1850,2850,2,50,SJ,all,1,C
23,1500,2700,1500,2600,1500,2650,2,50,SJ,all,1,C
24,1700,2800,1750,2650,1700,2700,2,50,SJ,all,1,C
25,2450,3600,2500,3600,2450,3600,2,50,SJ,all,1,C
26,1550,3350,1600,3300,1600,3350,2,50,SJ,all,1,C
27,2200,3500,2250,3500,2250,3500,2,50,SJ,all,1,C
28,1500,2400,1500,2300,1500,2300,2,50,SJ,all,1,C
29,1750,2900,1750,2800,1700,2850,2,50,SJ,all,1,C
30,1900,3200,2000,3150,1950,3200,2,50,SJ,all,1,C
1,1950,3400,2050,3300,2050,3350,3,50,SJ,all,1,C
2,2200,3450,2350,3400,2350,3400,3,50,SJ,all,1,C
3,2550,2550,NA,NA,NA,NA,3,50,SJ,all,1,C
4,1500,2650,1500,2600,1500,2650,3,50,SJ,all,1,C
5,1500,2800,1500,2650,1500,2700,3,50,SJ,all,1,C
6,1500,2750,1500,2650,1500,2700,3,50,SJ,all,1,C
