spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
1,1900,2500,2100,2450,2050,2500,1,50,SJ,all,0.5,H
2,1850,3050,1900,2850,1800,2950,1,50,SJ,all,0.5,H
3,1450,2750,1450,2500,1450,2600,1,50,SJ,all,0.5,H
4,1500,2600,1550,2550,1500,2600,1,50,SJ,all,0.5,H
5,1450,2950,1450,2750,1450,2800,1,50,SJ,all,0.5,H
6,2500,3450,2750,3400,2650,3500,1,50,SJ,all,0.5,H
7,1950,3300,2050,3200,2000,3300,1,50,SJ,all,0.5,H
8,2350,3300,2850,2850,2800,2900,1,50,SJ,all,0.5,H
9,1750,2700,1850,2400,1750,2500,1,50,SJ,all,0.5,H
10,2150,3700,2250,3700,2150,3700,1,50,SJ,all,0.5,H
11,1450,2700,1850,2150,1750,2250,1,50,SJ,all,0.5,H
12,1800,2650,1900,2350,1800,2450,1,50,SJ,all,0.5,H
13,2100,3050,2350,2850,2250,2950,1,50,SJ,all,0.5,H
14,1450,2650,1450,2500,1450,2600,1,50,SJ,all,0.5,H
15,1650,3250,2150,2900,2050,3000,1,50,SJ,all,0.5,H
16,1950,2700,2150,2500,2100,2550,1,50,SJ,all,0.5,H
17,1750,2350,NA,NA,NA,NA,1,50,SJ,all,0.5,H
18,1450,2600,1450,2600,1450,2700,1,50,SJ,all,0.5,H
19,1450,2800,1450,2700,1450,2800,1,50,SJ,all,0.5,H
20,2100,2100,NA,NA,NA,NA,1,50,SJ,all,0.5,H
21,1450,2950,1850,2900,1750,3000,1,50,SJ,all,0.5,H
22,2100,3700,2350,3700,2250,3700,1,50,SJ,all,0.5,H
23,1450,2850,1450,2600,1450,2700,1,50,SJ,all,0.5,H
24,1450,2800,1650,2350,1550,2450,1,50,SJ,all,0.5,H
25,1450,2650,1450,2600,1450,2700,1,50,SJ,all,0.5,H
26,1450,2650,1500,2550,1450,2600,1,50,SJ,all,0.5,H
27,1450,2650,1450,2600,1450,2700,1,50,SJ,all,0.5,H
28,1450,3250,1450,2900,1450,3000,1,50,SJ,all,0.5,H
29,1750,3050,1950,2850,1900,2900,1,50,SJ,all,0.5,H
30,2050,3350,2100,2900,2000,3000,1,50,SJ,all,0.5,H
1,1900,2500,2100,2450,2000,2550,2,50,SJ,all,0.5,H
2,1850,3050,1950,2850,1850,2950,2,50,SJ,all,0.5,H
3,1450,2750,1500,2300,1450,2400,2,50,SJ,all,0.5,H
4,1500,2600,1550,2550,1500,2600,2,50,SJ,all,0.5,H
5,1450,2950,1450,2750,1450,2800,2,50,SJ,all,0.5,H
